#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:1440331-1440588    -             86 1827295at2           -             74   9.5e-17   60.1   0.7   1   1   3.5e-19   3.6e-16   58.3   0.7     5    56    21    84     9    85 0.85 1_3175 # 1440331 # 1440588 # 1 # ID=1_3175;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.461
2:986903-987823      -            307 1827295at2           -             74     0.099   12.0   0.2   2   2       6.4   6.4e+03   -3.4   0.2    45    59   192   206   190   214 0.71 2_2117 # 986903 # 987823 # 1 # ID=2_2117;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.463
2:701230-701772      -            181 1827295at2           -             74      0.13   11.6   0.1   1   1   0.00024      0.24   10.7   0.1     9    30    26    47    15    60 0.76 2_1496 # 701230 # 701772 # 1 # ID=2_1496;partial=00;start_type=TTG;rbs_motif=AACAA;rbs_spacer=14bp;gc_cont=0.545
3:202645-202905      -             87 1827295at2           -             74      0.13   11.6   0.2   1   2       1.1   1.1e+03   -1.0   0.1    41    50     8    17     7    33 0.71 3_469 # 202645 # 202905 # 1 # ID=3_469;partial=00;start_type=TTG;rbs_motif=AAAA;rbs_spacer=15bp;gc_cont=0.410
3:202645-202905      -             87 1827295at2           -             74      0.13   11.6   0.2   2   2   0.00013      0.13   11.6   0.2     8    29    31    55    18    68 0.78 3_469 # 202645 # 202905 # 1 # ID=3_469;partial=00;start_type=TTG;rbs_motif=AAAA;rbs_spacer=15bp;gc_cont=0.410
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/long_only/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/long_only/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/long_only/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data/wgs_assembly/hybrid_genome_assembly_guide
# Date:            Sun Dec 28 03:07:40 2025
# [ok]
