# BUSCO version is: 5.6.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1574817at2	Fragmented	1:882970-883206	883206	882970	-	74.3	66	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Fragmented	3:62624-62983	62983	62624	-	32.1	46	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Fragmented	1:1497399-1498208	1498208	1497399	-	389.6	240	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	1:2027407-2027730	2027730	2027407	-	20.7	30	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Missing
1661836at2	Fragmented	3:88487-88609	88487	88609	+	29.6	32	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Missing
1671455at2	Complete	1:2680041-2680655	2680041	2680655	+	207.6	164	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Missing
1676462at2	Missing
1692188at2	Missing
1698718at2	Fragmented	1:1633748-1633978	1633748	1633978	+	87.8	65	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Fragmented	3:202166-202534	202166	202534	+	86.1	68	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	1:2679499-2679933	2679499	2679933	+	122.6	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Fragmented	1:2693602-2693859	2693602	2693859	+	119.6	67	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Missing
1720952at2	Missing
1758685at2	Missing
1760144at2	Fragmented	1:347893-348111	348111	347893	-	63.8	53	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	1:2879112-2879498	2879112	2879498	+	106.4	97	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Fragmented	1:2708722-2708964	2708722	2708964	+	107.5	69	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Fragmented	1:3194827-3195018	3194827	3195018	+	27.6	35	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Fragmented	1:2701151-2701414	2701151	2701414	+	104.4	74	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Fragmented	1:2702052-2702249	2702052	2702249	+	68.9	54	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Fragmented	1:2878642-2879022	2878642	2879022	+	110.2	86	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Fragmented	1:2681233-2681562	2681233	2681562	+	73.7	66	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Fragmented	1:1440331-1440588	1440331	1440588	+	60.1	51	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	1:1389429-1390091	1389429	1390091	+	75.1	79	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	1:2133979-2134386	2133979	2134386	+	63.9	68	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	1:2711163-2711591	2711163	2711591	+	71.3	70	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	1:1456120-1456482	1456120	1456482	+	37.3	63	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Fragmented	4:65652-66314	66314	65652	-	90.4	133	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Fragmented	1:2288006-2288374	2288374	2288006	-	65.3	61	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Missing
1890943at2	Complete	1:2070183-2070761	2070183	2070761	+	46.0	79	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Fragmented	1:2699557-2699778	2699557	2699778	+	117.7	56	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	1:1055122-1055391	1055122	1055391	+	123.8	66	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	1:268925-269251	268925	269251	+	34.3	63	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Fragmented	1:346915-347190	347190	346915	-	104.4	70	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	2:433672-434082	433672	434082	+	98.0	69	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	3:199487-200047	199487	200047	+	82.2	154	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	1:3195050-3195451	3195050	3195451	+	84.7	46	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	1:1054733-1055098	1054733	1055098	+	111.9	98	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Missing
1963491at2	Complete	1:2704569-2704862	2704569	2704862	+	115.9	88	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Fragmented	1:2378875-2379192	2378875	2379192	+	80.3	91	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	1:2698347-2698619	2698347	2698619	+	72.9	73	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Fragmented	1:2453888-2454067	2454067	2453888	-	63.7	54	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Missing
2005443at2	Complete	1:1991710-1991964	1991710	1991964	+	52.7	63	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	1:2696755-2697060	2696755	2697060	+	130.2	87	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	1:2701626-2701883	2701626	2701883	+	93.9	56	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Fragmented	1:2702270-2702485	2702270	2702485	+	29.5	33	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Missing
2063644at2	Complete	1:2701420-2701617	2701420	2701617	+	27.1	28	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	1:2708208-2708426	2708208	2708426	+	93.0	54	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	1:354891-355127	355127	354891	-	30.7	37	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
