locus_tag	ftype	length_bp	gene	EC_number	COG	product
NHKJIMIN_00063	gene	168				
NHKJIMIN_00063	CDS	168				hypothetical protein
NHKJIMIN_00064	gene	399				
NHKJIMIN_00064	CDS	399				hypothetical protein
NHKJIMIN_00065	gene	255				
NHKJIMIN_00065	CDS	255				hypothetical protein
NHKJIMIN_00066	gene	114				
NHKJIMIN_00066	CDS	114				hypothetical protein
NHKJIMIN_00067	gene	723				
NHKJIMIN_00067	CDS	723				hypothetical protein
NHKJIMIN_00068	gene	228				
NHKJIMIN_00068	CDS	228				hypothetical protein
NHKJIMIN_00069	gene	153				
NHKJIMIN_00069	CDS	153				hypothetical protein
NHKJIMIN_00070	gene	282				
NHKJIMIN_00070	CDS	282				hypothetical protein
NHKJIMIN_00071	gene	435				
NHKJIMIN_00071	CDS	435				hypothetical protein
NHKJIMIN_00072	gene	225				
NHKJIMIN_00072	CDS	225				hypothetical protein
NHKJIMIN_00073	gene	255				
NHKJIMIN_00073	CDS	255				hypothetical protein
NHKJIMIN_00074	gene	267				
NHKJIMIN_00074	CDS	267				hypothetical protein
NHKJIMIN_00075	gene	183				
NHKJIMIN_00075	CDS	183				hypothetical protein
NHKJIMIN_00076	gene	189				
NHKJIMIN_00076	CDS	189				hypothetical protein
NHKJIMIN_00077	gene	423				
NHKJIMIN_00077	CDS	423				hypothetical protein
NHKJIMIN_00078	gene	141				
NHKJIMIN_00078	CDS	141				hypothetical protein
NHKJIMIN_00079	gene	111				
NHKJIMIN_00079	CDS	111				hypothetical protein
NHKJIMIN_00080	gene	282				
NHKJIMIN_00080	CDS	282				hypothetical protein
NHKJIMIN_00081	gene	858				
NHKJIMIN_00081	CDS	858				hypothetical protein
NHKJIMIN_00082	gene	513				
NHKJIMIN_00082	CDS	513				hypothetical protein
NHKJIMIN_00083	gene	345				
NHKJIMIN_00083	CDS	345				hypothetical protein
NHKJIMIN_00084	gene	186				
NHKJIMIN_00084	CDS	186				hypothetical protein
NHKJIMIN_00085	gene	210				
NHKJIMIN_00085	CDS	210				hypothetical protein
NHKJIMIN_00086	gene	318				
NHKJIMIN_00086	CDS	318				hypothetical protein
NHKJIMIN_00087	gene	234				
NHKJIMIN_00087	CDS	234				hypothetical protein
NHKJIMIN_00088	gene	645				
NHKJIMIN_00088	CDS	645				hypothetical protein
NHKJIMIN_00089	gene	276				
NHKJIMIN_00089	CDS	276				hypothetical protein
NHKJIMIN_00090	gene	462				
NHKJIMIN_00090	CDS	462				hypothetical protein
NHKJIMIN_00091	gene	162				
NHKJIMIN_00091	CDS	162				hypothetical protein
NHKJIMIN_00092	gene	195				
NHKJIMIN_00092	CDS	195				hypothetical protein
NHKJIMIN_00093	gene	90				
NHKJIMIN_00093	CDS	90				hypothetical protein
NHKJIMIN_00094	gene	177				
NHKJIMIN_00094	CDS	177				hypothetical protein
NHKJIMIN_00095	gene	801				
NHKJIMIN_00095	CDS	801				hypothetical protein
NHKJIMIN_00096	gene	306				
NHKJIMIN_00096	CDS	306				hypothetical protein
NHKJIMIN_00097	gene	339				
NHKJIMIN_00097	CDS	339				hypothetical protein
NHKJIMIN_00098	gene	195				
NHKJIMIN_00098	CDS	195				hypothetical protein
NHKJIMIN_00099	gene	456				
NHKJIMIN_00099	CDS	456				hypothetical protein
NHKJIMIN_00100	gene	423				
NHKJIMIN_00100	CDS	423				hypothetical protein
NHKJIMIN_00101	gene	249				
NHKJIMIN_00101	CDS	249				hypothetical protein
NHKJIMIN_00102	gene	576				
NHKJIMIN_00102	CDS	576				hypothetical protein
NHKJIMIN_00103	gene	372				
NHKJIMIN_00103	CDS	372				hypothetical protein
NHKJIMIN_00104	gene	501				
NHKJIMIN_00104	CDS	501				hypothetical protein
NHKJIMIN_00105	gene	114				
NHKJIMIN_00105	CDS	114				hypothetical protein
NHKJIMIN_00106	gene	297				
NHKJIMIN_00106	CDS	297				hypothetical protein
NHKJIMIN_00107	gene	450				
NHKJIMIN_00107	CDS	450				hypothetical protein
NHKJIMIN_00108	gene	210				
NHKJIMIN_00108	CDS	210				hypothetical protein
NHKJIMIN_00109	gene	738				
NHKJIMIN_00109	CDS	738				hypothetical protein
NHKJIMIN_00110	gene	384				
NHKJIMIN_00110	CDS	384				hypothetical protein
NHKJIMIN_00111	gene	156				
NHKJIMIN_00111	CDS	156				hypothetical protein
NHKJIMIN_00112	gene	198				
NHKJIMIN_00112	CDS	198				hypothetical protein
NHKJIMIN_00113	gene	207				
NHKJIMIN_00113	CDS	207				hypothetical protein
NHKJIMIN_00114	gene	279				
NHKJIMIN_00114	CDS	279				hypothetical protein
NHKJIMIN_00115	gene	252				
NHKJIMIN_00115	CDS	252				hypothetical protein
NHKJIMIN_00116	gene	282				
NHKJIMIN_00116	CDS	282				hypothetical protein
NHKJIMIN_00117	gene	345				
NHKJIMIN_00117	CDS	345				hypothetical protein
NHKJIMIN_00118	gene	390				
NHKJIMIN_00118	CDS	390				hypothetical protein
NHKJIMIN_00119	gene	114				
NHKJIMIN_00119	CDS	114				hypothetical protein
NHKJIMIN_00120	gene	117				
NHKJIMIN_00120	CDS	117				hypothetical protein
NHKJIMIN_00121	gene	243				
NHKJIMIN_00121	CDS	243				hypothetical protein
NHKJIMIN_00122	gene	234				
NHKJIMIN_00122	CDS	234				hypothetical protein
NHKJIMIN_00123	gene	264				
NHKJIMIN_00123	CDS	264				hypothetical protein
NHKJIMIN_00124	gene	180				
NHKJIMIN_00124	CDS	180				hypothetical protein
NHKJIMIN_00125	gene	333				
NHKJIMIN_00125	CDS	333				hypothetical protein
NHKJIMIN_00126	gene	435				
NHKJIMIN_00126	CDS	435				hypothetical protein
NHKJIMIN_00127	gene	399				
NHKJIMIN_00127	CDS	399				hypothetical protein
NHKJIMIN_00128	gene	573				
NHKJIMIN_00128	CDS	573				hypothetical protein
NHKJIMIN_00129	gene	429				
NHKJIMIN_00129	CDS	429				hypothetical protein
NHKJIMIN_00130	gene	375				
NHKJIMIN_00130	CDS	375				hypothetical protein
NHKJIMIN_00131	gene	174				
NHKJIMIN_00131	CDS	174				hypothetical protein
NHKJIMIN_00132	gene	180				
NHKJIMIN_00132	CDS	180				hypothetical protein
NHKJIMIN_00133	gene	147				
NHKJIMIN_00133	CDS	147				hypothetical protein
NHKJIMIN_00134	gene	165				
NHKJIMIN_00134	CDS	165				hypothetical protein
NHKJIMIN_00135	gene	213				
NHKJIMIN_00135	CDS	213				hypothetical protein
NHKJIMIN_00136	gene	210				
NHKJIMIN_00136	CDS	210				hypothetical protein
NHKJIMIN_00137	gene	159				
NHKJIMIN_00137	CDS	159				hypothetical protein
NHKJIMIN_00138	gene	543				
NHKJIMIN_00138	CDS	543				hypothetical protein
NHKJIMIN_00139	gene	174				
NHKJIMIN_00139	CDS	174				hypothetical protein
NHKJIMIN_00140	gene	204				
NHKJIMIN_00140	CDS	204				hypothetical protein
NHKJIMIN_00141	gene	765				
NHKJIMIN_00141	CDS	765				Putative fimbrium tip subunit Fim1C
NHKJIMIN_00142	gene	1071				
NHKJIMIN_00142	CDS	1071				hypothetical protein
NHKJIMIN_00143	gene	300				
NHKJIMIN_00143	CDS	300				hypothetical protein
NHKJIMIN_00144	gene	201				
NHKJIMIN_00144	CDS	201				hypothetical protein
NHKJIMIN_00145	gene	360				
NHKJIMIN_00145	CDS	360				hypothetical protein
NHKJIMIN_00146	gene	600				
NHKJIMIN_00146	CDS	600				hypothetical protein
NHKJIMIN_00147	gene	255				
NHKJIMIN_00147	CDS	255				hypothetical protein
NHKJIMIN_00148	gene	288				
NHKJIMIN_00148	CDS	288				hypothetical protein
NHKJIMIN_00149	gene	288				
NHKJIMIN_00149	CDS	288				hypothetical protein
NHKJIMIN_00150	gene	213				
NHKJIMIN_00150	CDS	213				hypothetical protein
NHKJIMIN_00151	gene	861				
NHKJIMIN_00151	CDS	861				hypothetical protein
NHKJIMIN_00152	gene	963				
NHKJIMIN_00152	CDS	963				hypothetical protein
NHKJIMIN_00153	gene	855				
NHKJIMIN_00153	CDS	855				hypothetical protein
NHKJIMIN_00154	gene	123				
NHKJIMIN_00154	CDS	123				hypothetical protein
NHKJIMIN_00155	gene	249				
NHKJIMIN_00155	CDS	249				hypothetical protein
NHKJIMIN_00156	gene	168				
NHKJIMIN_00156	CDS	168				hypothetical protein
NHKJIMIN_00157	gene	210				
NHKJIMIN_00157	CDS	210				hypothetical protein
NHKJIMIN_00158	gene	240				
NHKJIMIN_00158	CDS	240				hypothetical protein
NHKJIMIN_00159	gene	357	nrdB			
NHKJIMIN_00159	CDS	357	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
NHKJIMIN_00160	gene	354				
NHKJIMIN_00160	CDS	354				hypothetical protein
NHKJIMIN_00161	gene	423	nrdA_1			
NHKJIMIN_00161	CDS	423	nrdA_1	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
NHKJIMIN_00162	gene	258				
NHKJIMIN_00162	CDS	258				hypothetical protein
NHKJIMIN_00163	gene	186				
NHKJIMIN_00163	CDS	186				hypothetical protein
NHKJIMIN_00164	gene	600	nrdA_2			
NHKJIMIN_00164	CDS	600	nrdA_2	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
NHKJIMIN_00165	gene	279	nrdA_3			
NHKJIMIN_00165	CDS	279	nrdA_3	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
NHKJIMIN_00166	gene	162				
NHKJIMIN_00166	CDS	162				hypothetical protein
NHKJIMIN_00167	gene	597				
NHKJIMIN_00167	CDS	597				hypothetical protein
NHKJIMIN_00168	gene	474				
NHKJIMIN_00168	CDS	474				hypothetical protein
NHKJIMIN_00169	gene	525				
NHKJIMIN_00169	CDS	525				hypothetical protein
NHKJIMIN_00170	gene	588	iacT			
NHKJIMIN_00170	CDS	588	iacT		COG4773	Iron and copper transporter IacT
NHKJIMIN_00171	gene	237				
NHKJIMIN_00171	CDS	237				hypothetical protein
NHKJIMIN_00172	gene	528	schE_1			
NHKJIMIN_00172	CDS	528	schE_1		COG2814	Schizokinen exporter SchE
NHKJIMIN_00173	gene	705	schE_2			
NHKJIMIN_00173	CDS	705	schE_2		COG2814	Schizokinen exporter SchE
NHKJIMIN_00174	gene	612	hemN_1			
NHKJIMIN_00174	CDS	612	hemN_1	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
NHKJIMIN_00175	gene	240	hemN_2			
NHKJIMIN_00175	CDS	240	hemN_2	1.3.98.3		Oxygen-independent coproporphyrinogen III oxidase
NHKJIMIN_00176	gene	408	hemN_3			
NHKJIMIN_00176	CDS	408	hemN_3	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
NHKJIMIN_00177	gene	174				
NHKJIMIN_00177	CDS	174				hypothetical protein
NHKJIMIN_00178	gene	330				
NHKJIMIN_00178	CDS	330				hypothetical protein
NHKJIMIN_00179	gene	324				
NHKJIMIN_00179	CDS	324				hypothetical protein
NHKJIMIN_00180	gene	168				
NHKJIMIN_00180	CDS	168				hypothetical protein
NHKJIMIN_00181	gene	177				
NHKJIMIN_00181	CDS	177				hypothetical protein
NHKJIMIN_00182	gene	228				
NHKJIMIN_00182	CDS	228				hypothetical protein
NHKJIMIN_00183	gene	246				
NHKJIMIN_00183	CDS	246				hypothetical protein
NHKJIMIN_00184	gene	285	dkgA			
NHKJIMIN_00184	CDS	285	dkgA	1.1.1.346		2,5-diketo-D-gluconic acid reductase A
NHKJIMIN_00185	gene	432				
NHKJIMIN_00185	CDS	432				hypothetical protein
NHKJIMIN_00186	gene	144				
NHKJIMIN_00186	CDS	144				hypothetical protein
NHKJIMIN_00187	gene	969				
NHKJIMIN_00187	CDS	969				hypothetical protein
NHKJIMIN_00188	gene	213				
NHKJIMIN_00188	CDS	213				hypothetical protein
NHKJIMIN_00189	gene	132				
NHKJIMIN_00189	CDS	132				hypothetical protein
NHKJIMIN_00190	gene	255				
NHKJIMIN_00190	CDS	255				hypothetical protein
NHKJIMIN_00191	gene	198				
NHKJIMIN_00191	CDS	198				hypothetical protein
NHKJIMIN_00192	gene	261				
NHKJIMIN_00192	CDS	261				hypothetical protein
NHKJIMIN_00193	gene	702				
NHKJIMIN_00193	CDS	702				hypothetical protein
NHKJIMIN_00194	gene	396				
NHKJIMIN_00194	CDS	396				hypothetical protein
NHKJIMIN_00195	gene	390				
NHKJIMIN_00195	CDS	390				hypothetical protein
NHKJIMIN_00196	gene	330				
NHKJIMIN_00196	CDS	330				hypothetical protein
NHKJIMIN_00197	gene	333				
NHKJIMIN_00197	CDS	333				hypothetical protein
NHKJIMIN_00198	gene	387				
NHKJIMIN_00198	CDS	387				hypothetical protein
NHKJIMIN_00199	gene	531				
NHKJIMIN_00199	CDS	531				hypothetical protein
NHKJIMIN_00200	gene	1230				
NHKJIMIN_00200	CDS	1230				hypothetical protein
NHKJIMIN_00201	gene	309				
NHKJIMIN_00201	CDS	309				hypothetical protein
NHKJIMIN_00202	gene	180				
NHKJIMIN_00202	CDS	180				hypothetical protein
NHKJIMIN_00203	gene	222	mtgA_1			
NHKJIMIN_00203	CDS	222	mtgA_1	2.4.99.28		Biosynthetic peptidoglycan transglycosylase
NHKJIMIN_00204	gene	285	mtgA_2			
NHKJIMIN_00204	CDS	285	mtgA_2	2.4.99.28		Biosynthetic peptidoglycan transglycosylase
NHKJIMIN_00205	gene	174				
NHKJIMIN_00205	CDS	174				hypothetical protein
NHKJIMIN_00206	gene	321				
NHKJIMIN_00206	CDS	321				hypothetical protein
NHKJIMIN_00207	gene	336				
NHKJIMIN_00207	CDS	336				hypothetical protein
NHKJIMIN_00208	gene	375				
NHKJIMIN_00208	CDS	375				hypothetical protein
NHKJIMIN_00209	gene	636				
NHKJIMIN_00209	CDS	636				hypothetical protein
NHKJIMIN_00210	gene	123				
NHKJIMIN_00210	CDS	123				hypothetical protein
NHKJIMIN_00211	gene	522				
NHKJIMIN_00211	CDS	522				hypothetical protein
NHKJIMIN_00212	gene	753				
NHKJIMIN_00212	CDS	753				hypothetical protein
NHKJIMIN_00213	gene	270				
NHKJIMIN_00213	CDS	270				hypothetical protein
NHKJIMIN_00214	gene	99				
NHKJIMIN_00214	CDS	99				hypothetical protein
NHKJIMIN_00215	gene	255				
NHKJIMIN_00215	CDS	255				hypothetical protein
NHKJIMIN_00216	gene	357				
NHKJIMIN_00216	CDS	357				hypothetical protein
NHKJIMIN_00217	gene	342	susC_1			
NHKJIMIN_00217	CDS	342	susC_1		COG1629	TonB-dependent receptor SusC
NHKJIMIN_00218	gene	492	susC_2			
NHKJIMIN_00218	CDS	492	susC_2		COG1629	TonB-dependent receptor SusC
NHKJIMIN_00219	gene	243				
NHKJIMIN_00219	CDS	243				hypothetical protein
NHKJIMIN_00220	gene	828				
NHKJIMIN_00220	CDS	828				hypothetical protein
NHKJIMIN_00221	gene	201				
NHKJIMIN_00221	CDS	201		2.1.3.1		Methylmalonyl-CoA carboxyltransferase 5S subunit
NHKJIMIN_00222	gene	306				
NHKJIMIN_00222	CDS	306				hypothetical protein
NHKJIMIN_00223	gene	660				
NHKJIMIN_00223	CDS	660				hypothetical protein
NHKJIMIN_00224	gene	300				
NHKJIMIN_00224	CDS	300				hypothetical protein
NHKJIMIN_00225	gene	252	lemA_1			
NHKJIMIN_00225	CDS	252	lemA_1		COG1704	Protein LemA
NHKJIMIN_00226	gene	321				
NHKJIMIN_00226	CDS	321				hypothetical protein
NHKJIMIN_00227	gene	216	htpX_1			
NHKJIMIN_00227	CDS	216	htpX_1	3.4.24.-	COG0501	Protease HtpX 
NHKJIMIN_00228	gene	495	htpX_2			
NHKJIMIN_00228	CDS	495	htpX_2	3.4.24.-	COG0501	Protease HtpX 
NHKJIMIN_00229	gene	183				
NHKJIMIN_00229	CDS	183				hypothetical protein
NHKJIMIN_00230	gene	315				
NHKJIMIN_00230	CDS	315				hypothetical protein
NHKJIMIN_00231	gene	537				
NHKJIMIN_00231	CDS	537				hypothetical protein
NHKJIMIN_00232	gene	1203	wbpI_1			
NHKJIMIN_00232	CDS	1203	wbpI_1	5.1.3.23		UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
NHKJIMIN_00233	gene	342				
NHKJIMIN_00233	CDS	342				hypothetical protein
NHKJIMIN_00234	gene	390				
NHKJIMIN_00234	CDS	390				hypothetical protein
NHKJIMIN_00235	gene	276				
NHKJIMIN_00235	CDS	276				hypothetical protein
NHKJIMIN_00236	gene	225				
NHKJIMIN_00236	CDS	225				hypothetical protein
NHKJIMIN_00237	gene	981				
NHKJIMIN_00237	CDS	981				hypothetical protein
NHKJIMIN_00238	gene	351				
NHKJIMIN_00238	CDS	351				hypothetical protein
NHKJIMIN_00239	gene	420				
NHKJIMIN_00239	CDS	420		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
NHKJIMIN_00240	gene	207	lacZ_1			
NHKJIMIN_00240	CDS	207	lacZ_1	3.2.1.23		Beta-galactosidase
NHKJIMIN_00241	gene	192				
NHKJIMIN_00241	CDS	192				hypothetical protein
NHKJIMIN_00242	gene	759				
NHKJIMIN_00242	CDS	759				hypothetical protein
NHKJIMIN_00243	gene	516				
NHKJIMIN_00243	CDS	516				hypothetical protein
NHKJIMIN_00244	gene	171	rarA_1			
NHKJIMIN_00244	CDS	171	rarA_1		COG2256	Replication-associated recombination protein A
NHKJIMIN_00245	gene	252	rarA_2			
NHKJIMIN_00245	CDS	252	rarA_2		COG2256	Replication-associated recombination protein A
NHKJIMIN_00246	gene	723	rarA_3			
NHKJIMIN_00246	CDS	723	rarA_3	3.6.4.-	COG2256	Replication-associated recombination protein A
NHKJIMIN_00247	gene	165				
NHKJIMIN_00247	CDS	165				hypothetical protein
NHKJIMIN_00248	gene	222	hpr_1			
NHKJIMIN_00248	CDS	222	hpr_1	1.1.1.81	COG1052	Hydroxypyruvate reductase
NHKJIMIN_00249	gene	573	hpr_2			
NHKJIMIN_00249	CDS	573	hpr_2	1.1.1.81	COG1052	Hydroxypyruvate reductase
NHKJIMIN_00250	gene	369				
NHKJIMIN_00250	CDS	369				hypothetical protein
NHKJIMIN_00251	gene	540				
NHKJIMIN_00251	CDS	540				hypothetical protein
NHKJIMIN_00252	gene	360				
NHKJIMIN_00252	CDS	360				hypothetical protein
NHKJIMIN_00253	gene	240				
NHKJIMIN_00253	CDS	240				hypothetical protein
NHKJIMIN_00254	gene	186				
NHKJIMIN_00254	CDS	186				hypothetical protein
NHKJIMIN_00255	gene	327				
NHKJIMIN_00255	CDS	327				hypothetical protein
NHKJIMIN_00256	gene	423				
NHKJIMIN_00256	CDS	423				hypothetical protein
NHKJIMIN_00257	gene	177				
NHKJIMIN_00257	CDS	177				hypothetical protein
NHKJIMIN_00258	gene	285				
NHKJIMIN_00258	CDS	285				hypothetical protein
NHKJIMIN_00259	gene	327				
NHKJIMIN_00259	CDS	327				hypothetical protein
NHKJIMIN_00260	gene	192				
NHKJIMIN_00260	CDS	192				hypothetical protein
NHKJIMIN_00261	gene	159				
NHKJIMIN_00261	CDS	159				hypothetical protein
NHKJIMIN_00262	gene	306				
NHKJIMIN_00262	CDS	306				hypothetical protein
NHKJIMIN_00263	gene	180				
NHKJIMIN_00263	CDS	180				hypothetical protein
NHKJIMIN_00264	gene	537				
NHKJIMIN_00264	CDS	537				hypothetical protein
NHKJIMIN_00265	gene	255				
NHKJIMIN_00265	CDS	255				hypothetical protein
NHKJIMIN_00266	gene	474				
NHKJIMIN_00266	CDS	474				hypothetical protein
NHKJIMIN_00267	gene	240	yehF			
NHKJIMIN_00267	CDS	240	yehF			Protein YehF
NHKJIMIN_00268	gene	507				
NHKJIMIN_00268	CDS	507				hypothetical protein
NHKJIMIN_00269	gene	147				
NHKJIMIN_00269	CDS	147				hypothetical protein
NHKJIMIN_00270	gene	252				
NHKJIMIN_00270	CDS	252				hypothetical protein
NHKJIMIN_00271	gene	201				
NHKJIMIN_00271	CDS	201				hypothetical protein
NHKJIMIN_00272	gene	459	appC_1			
NHKJIMIN_00272	CDS	459	appC_1	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
NHKJIMIN_00273	gene	426	appC_2			
NHKJIMIN_00273	CDS	426	appC_2	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
NHKJIMIN_00274	gene	219	cydA_1			
NHKJIMIN_00274	CDS	219	cydA_1	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
NHKJIMIN_00275	gene	147	cydA_2			
NHKJIMIN_00275	CDS	147	cydA_2	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
NHKJIMIN_00276	gene	216				
NHKJIMIN_00276	CDS	216				hypothetical protein
NHKJIMIN_00277	gene	225				
NHKJIMIN_00277	CDS	225				hypothetical protein
NHKJIMIN_00278	gene	204				
NHKJIMIN_00278	CDS	204				hypothetical protein
NHKJIMIN_00279	gene	552				
NHKJIMIN_00279	CDS	552				hypothetical protein
NHKJIMIN_00280	gene	333				
NHKJIMIN_00280	CDS	333				hypothetical protein
NHKJIMIN_00281	gene	948				
NHKJIMIN_00281	CDS	948				hypothetical protein
NHKJIMIN_00282	gene	291				
NHKJIMIN_00282	CDS	291				hypothetical protein
NHKJIMIN_00283	gene	474				
NHKJIMIN_00283	CDS	474				hypothetical protein
NHKJIMIN_00284	gene	414	pvdR			
NHKJIMIN_00284	CDS	414	pvdR		COG0845	Pyoverdine export membrane fusion protein PvdR
NHKJIMIN_00285	gene	264				
NHKJIMIN_00285	CDS	264				hypothetical protein
NHKJIMIN_00286	gene	402	yknY_1			
NHKJIMIN_00286	CDS	402	yknY_1	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
NHKJIMIN_00287	gene	291				
NHKJIMIN_00287	CDS	291				hypothetical protein
NHKJIMIN_00288	gene	558	macB_1			
NHKJIMIN_00288	CDS	558	macB_1	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
NHKJIMIN_00289	gene	468	macB_2			
NHKJIMIN_00289	CDS	468	macB_2	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
NHKJIMIN_00290	gene	270	macB_3			
