#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	219019	220344	-	LGJFBO_00212	48.0	5.3	PF16819.11|DUF5074	PFAM:PF16819.11
contig_1	274103	274264	-	LGJFBO_00248	6.2	9.2	PF13529.12|Peptidase_C39_2	PFAM:PF13529.12
contig_1	276839	277075	+	LGJFBO_00250	9.3	9.1	PF13612.12|DDE_Tnp_1_3	PFAM:PF13612.12
contig_1	290015	290221	-	LGJFBO_00261	7.6	8.7		SO:0001217, UniRef:UniRef50_I9KK95
contig_1	290438	290986	-	LGJFBO_00262	20.7	9.0		
contig_1	301216	302559	+	LGJFBO_00270	49.5	9.9		
contig_1	313063	313314	+	LGJFBO_00282	9.7	9.4		
contig_1	314647	314922	-	LGJFBO_00285	10.6	4.8	PF00515.34|TPR_1, PF07719.23|TPR_2, PF13174.12|TPR_6, PF13176.12|TPR_7, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13428.12|TPR_14, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF13174.12, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12
contig_1	331728	333284	+	LGJFBO_00300	57.1	8.5	PF06808.19|DctM	PFAM:PF06808.19
contig_1	347315	348391	+	LGJFBO_00312	37.5	5.0	PF12985.13|DUF3869, PF22452.1|BF9343_1606-like_C	PFAM:PF12985.13, PFAM:PF22452.1
contig_1	353015	353128	+	LGJFBO_00318	4.3	10.2		
contig_1	375897	377081	+	LGJFBO_00340	46.0	5.5	PF07221.17|GlcNAc_2-epim	PFAM:PF07221.17
contig_1	442152	442304	-	LGJFBO_00376	6.3	9.8		
contig_1	443443	444783	-	LGJFBO_00378	50.6	5.0	PF00515.34|TPR_1, PF07719.23|TPR_2, PF09295.16|ChAPs, PF12569.14|NatA_aux_su, PF12895.13|ANAPC3, PF13174.12|TPR_6, PF13176.12|TPR_7, PF13181.12|TPR_8, PF13371.12|TPR_9, PF13374.12|TPR_10, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19, PF23914.1|TPR_CcmH_CycH	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF09295.16, PFAM:PF12569.14, PFAM:PF12895.13, PFAM:PF13174.12, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13371.12, PFAM:PF13374.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12, PFAM:PF23914.1, SO:0001217, UniRef:UniRef50_A0A3A5YZ46
contig_1	444805	445020	-	LGJFBO_00379	7.6	4.5		SO:0001217, UniRef:UniRef50_A0A1M4XI43
contig_1	445013	445414	-	LGJFBO_00380	15.4	9.3		
contig_1	477937	478944	+	LGJFBO_00408	38.6	6.3	PF13098.12|Thioredoxin_2, PF13905.12|Thioredoxin_8, PF17127.10|DUF5106	PFAM:PF13098.12, PFAM:PF13905.12, PFAM:PF17127.10
contig_1	496578	496718	+	LGJFBO_00424	5.6	8.6		
contig_1	507917	509074	-	LGJFBO_00432	40.8	9.7		
contig_1	516305	516643	-	LGJFBO_00439	13.0	9.7		SO:0001217, UniRef:UniRef50_E1WUX6
contig_1	519899	520462	+	LGJFBO_00445	22.0	6.3		
contig_1	521990	522793	+	LGJFBO_00447	31.7	6.0	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_1	524098	524307	+	LGJFBO_00450	7.7	4.6	PF00550.31|PP-binding	PFAM:PF00550.31
contig_1	524307	525035	+	LGJFBO_00451	26.8	9.0	PF00106.31|adh_short, PF13561.12|adh_short_C2, PF23441.1|SDR	PFAM:PF00106.31, PFAM:PF13561.12, PFAM:PF23441.1
contig_1	525048	525899	+	LGJFBO_00452	32.7	5.6	PF02522.19|Antibiotic_NAT	PFAM:PF02522.19
contig_1	525903	526523	+	LGJFBO_00453	23.3	4.9	PF00753.33|Lactamase_B	PFAM:PF00753.33
contig_1	527620	528600	+	LGJFBO_00455	38.4	8.5	PF00535.33|Glycos_transf_2, PF13641.12|Glyco_tranf_2_3	PFAM:PF00535.33, PFAM:PF13641.12
contig_1	530225	531451	+	LGJFBO_00457	46.8	9.0	PF13439.12|Glyco_transf_4	PFAM:PF13439.12
contig_1	533742	535103	+	LGJFBO_00460	52.0	8.9		
contig_1	535115	536242	+	LGJFBO_00461	43.4	8.1	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_1	544334	544813	+	LGJFBO_00468	17.2	9.2	PF00216.26|Bac_DNA_binding, PF14908.11|HU-CCDC81_euk_1, PF18291.6|HU-HIG	PFAM:PF00216.26, PFAM:PF14908.11, PFAM:PF18291.6
contig_1	558182	558289	+	LGJFBO_00481	4.1	6.5		
contig_1	558488	558754	+	LGJFBO_00482	9.9	6.7		
contig_1	558899	559417	+	LGJFBO_00483	20.4	8.9		
contig_1	560344	561498	+	LGJFBO_00485	43.2	6.5		SO:0001217, UniRef:UniRef50_A0A9D2VNY9
contig_1	569953	570165	+	LGJFBO_00494	8.2	9.6		
contig_1	610659	610787	+	LGJFBO_00526	4.9	5.5		
contig_1	619434	619532	-	LGJFBO_00533	3.7	9.5		
contig_1	623641	623757	+	LGJFBO_00536	4.3	5.3		
contig_1	624268	624450	-	LGJFBO_00537	7.0	5.0		
contig_1	626615	626926	+	LGJFBO_00539	11.8	8.2		SO:0001217, UniRef:UniRef50_A0A081TXK2
contig_1	628098	628994	+	LGJFBO_00541	31.8	4.7		
contig_1	632722	633783	+	LGJFBO_00545	39.9	5.9		
contig_1	633787	634149	+	LGJFBO_00546	13.5	4.7	PF00962.28|A_deaminase	PFAM:PF00962.28
contig_1	634276	634497	+	LGJFBO_00547	8.0	8.5		
contig_1	635356	635571	+	LGJFBO_00550	7.9	4.5		
contig_1	641164	641448	+	LGJFBO_00559	11.0	8.9		SO:0001217, UniRef:UniRef50_R9HHM2
contig_1	641773	642147	+	LGJFBO_00561	13.9	7.9		
contig_1	642260	642595	+	LGJFBO_00562	12.3	7.7		
contig_1	647757	649361	+	LGJFBO_00568	57.4	5.7	PF13004.13|BACON, PF18998.6|Flg_new_2	PFAM:PF13004.13, PFAM:PF18998.6
contig_1	649380	650177	+	LGJFBO_00569	28.9	5.4		
contig_1	650193	650501	+	LGJFBO_00570	11.0	9.9		
contig_1	656690	656878	+	LGJFBO_00578	7.1	4.7		SO:0001217, UniRef:UniRef50_A0A396BR27
contig_1	656879	657322	-	LGJFBO_00579	17.0	9.2		
contig_1	659113	659454	+	LGJFBO_00582	13.3	5.1		SO:0001217, UniRef:UniRef50_R9HA03
contig_1	663500	663778	-	LGJFBO_00586	10.7	7.8		SO:0001217, UniRef:UniRef50_A0A396BU50
contig_1	664557	664697	-	LGJFBO_00588	5.5	9.0		
contig_1	668599	668883	-	LGJFBO_00592	10.7	4.5		
contig_1	677951	678094	+	LGJFBO_00598	5.6	6.5		
contig_1	678380	678784	+	LGJFBO_00599	14.6	5.6		SO:0001217, UniRef:UniRef50_A6KYZ2
contig_1	678790	680106	+	LGJFBO_00600	48.4	9.8		
contig_1	683314	683667	+	LGJFBO_00602	13.2	9.6		SO:0001217, UniRef:UniRef50_I9BFK9
contig_1	688439	688681	+	LGJFBO_00607	9.2	4.8		SO:0001217, UniRef:UniRef50_D4IMZ0
contig_1	689598	689867	+	LGJFBO_00609	10.5	5.1		
contig_1	693049	693966	-	LGJFBO_00613	35.9	9.4	PF13102.12|Phage_int_SAM_5, PF17293.8|Arm-DNA-bind_5	PFAM:PF13102.12, PFAM:PF17293.8
contig_1	703023	703250	-	LGJFBO_00622	8.5	4.4		
contig_1	724099	725214	-	LGJFBO_00641	42.8	8.9	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_1	735618	736808	-	LGJFBO_00649	45.3	9.6	PF01103.29|Omp85	PFAM:PF01103.29
contig_1	741509	742186	+	LGJFBO_00653	24.4	5.0	PF04205.19|FMN_bind	PFAM:PF04205.19
contig_1	753526	754098	+	LGJFBO_00665	21.2	6.0	PF00881.29|Nitroreductase	PFAM:PF00881.29
contig_1	759445	759834	-	LGJFBO_00670	15.4	10.0		
contig_1	770176	770571	-	LGJFBO_00678	14.5	9.0	PF22544.2|HYDIN_VesB_CFA65-like_Ig	PFAM:PF22544.2
contig_1	778191	778349	+	LGJFBO_00684	6.1	6.0		
contig_1	787752	787853	-	LGJFBO_00697	3.7	9.8		
contig_1	788182	788352	+	LGJFBO_00699	6.7	8.9		
contig_1	789000	789236	+	LGJFBO_00701	8.9	9.2		
contig_1	803703	803984	-	LGJFBO_00710	11.1	7.8		
contig_1	803935	804273	-	LGJFBO_00711	12.6	6.2	PF00892.27|EamA	PFAM:PF00892.27
contig_1	805444	805767	-	LGJFBO_00714	12.9	7.8		SO:0001217, UniRef:UniRef50_I9B3T9
contig_1	806835	807230	+	LGJFBO_00716	15.2	7.7		
contig_2	7603	7977	+	LGJFBO_00725	13.9	4.8	PF11325.14|DUF3127	PFAM:PF11325.14
contig_2	14838	15242	+	LGJFBO_00732	15.3	8.8		
contig_2	17591	17902	-	LGJFBO_00734	10.9	7.9		
contig_2	22150	23253	-	LGJFBO_00737	39.9	4.8		
contig_2	29737	30705	-	LGJFBO_00744	33.6	4.5		
contig_2	33930	34322	-	LGJFBO_00748	14.6	5.0		SO:0001217, UniRef:UniRef50_I9VHM2
contig_2	36660	37280	+	LGJFBO_00751	24.2	8.5		SO:0001217, UniRef:UniRef50_I9V479
contig_2	48653	48895	+	LGJFBO_00765	9.5	10.3		
contig_2	51202	52095	+	LGJFBO_00769	34.0	6.8	PF00165.29|HTH_AraC, PF06445.20|GyrI-like, PF12833.13|HTH_18, PF14526.11|Cass2	PFAM:PF00165.29, PFAM:PF06445.20, PFAM:PF12833.13, PFAM:PF14526.11
contig_2	52032	52211	-	LGJFBO_00770	7.1	9.6		
contig_2	67328	67465	+	LGJFBO_00785	5.2	9.7		
contig_2	67857	68348	+	LGJFBO_00786	18.6	10.4		
contig_2	69613	69876	-	LGJFBO_00789	9.8	5.4	PF14542.12|Acetyltransf_CG	PFAM:PF14542.12
contig_2	85080	85832	-	LGJFBO_00798	29.0	7.6	PF16344.10|FecR_C	PFAM:PF16344.10
contig_2	86450	86998	+	LGJFBO_00800	21.9	6.3	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04542.20, PFAM:PF04545.22, PFAM:PF08281.18
contig_2	95212	95505	-	LGJFBO_00805	10.9	10.7		
contig_2	105279	105404	-	LGJFBO_00814	4.7	9.7		
contig_2	105468	105788	+	LGJFBO_00815	12.2	4.7		SO:0001217, UniRef:UniRef50_H1Q102
contig_2	127132	130095	-	LGJFBO_00834	112.5	6.1	PF02463.25|SMC_N, PF13476.12|AAA_23, PF13555.12|AAA_29, PF13558.12|SbcC_Walker_B	PFAM:PF02463.25, PFAM:PF13476.12, PFAM:PF13555.12, PFAM:PF13558.12
contig_2	147547	148101	-	LGJFBO_00845	21.1	9.3		SO:0001217, UniRef:UniRef50_A0A0I9S5Q6
contig_2	152274	152654	-	LGJFBO_00849	14.4	9.1	PF22544.2|HYDIN_VesB_CFA65-like_Ig	PFAM:PF22544.2
contig_2	154076	154231	-	LGJFBO_00852	6.1	5.6		
contig_2	158436	158636	-	LGJFBO_00858	7.6	8.6		
contig_2	176904	177440	+	LGJFBO_00875	20.1	7.8		SO:0001217, UniRef:UniRef50_I9VNF4
contig_2	195475	195600	-	LGJFBO_00890	4.8	6.0		
contig_2	208091	208411	-	LGJFBO_00903	12.4	9.3		
contig_2	213834	215378	-	LGJFBO_00909	58.4	9.5		
contig_2	215391	216143	-	LGJFBO_00910	29.2	9.0		
contig_2	216379	217407	-	LGJFBO_00911	39.7	9.5	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_2	220833	221261	-	LGJFBO_00915	16.2	6.1	PF01467.32|CTP_transf_like	PFAM:PF01467.32
contig_2	222460	223392	-	LGJFBO_00917	35.9	5.9	PF00535.33|Glycos_transf_2, PF13641.12|Glyco_tranf_2_3	PFAM:PF00535.33, PFAM:PF13641.12
contig_2	254370	254549	+	LGJFBO_00943	6.9	9.6		
contig_2	258674	260545	-	LGJFBO_00949	70.8	9.3	PF07715.20|Plug	PFAM:PF07715.20
contig_2	261763	262368	-	LGJFBO_00951	22.4	8.7	PF03938.19|OmpH	PFAM:PF03938.19
contig_2	365644	368064	-	LGJFBO_01026	86.0	4.9		
contig_2	368223	369239	-	LGJFBO_01027	37.7	5.6		
contig_2	369236	370507	-	LGJFBO_01028	48.6	9.8		
contig_2	376447	376692	-	LGJFBO_01033	9.0	9.4		
contig_2	412982	413509	+	LGJFBO_01056	19.4	8.9	PF09851.14|SHOCT	PFAM:PF09851.14
contig_2	413523	414095	+	LGJFBO_01057	22.0	8.9		
contig_3	1	216	-	LGJFBO_01070	8.1	9.7		
contig_3	481	1173	-	LGJFBO_01071	26.6	9.6		
contig_3	1531	1824	+	LGJFBO_01072	11.5	5.9	PF12728.13|HTH_17	PFAM:PF12728.13
contig_3	2214	2633	+	LGJFBO_01074	15.2	4.8		
contig_3	2617	5865	+	LGJFBO_01075	124.9	5.5	PF12770.12|CHAT	PFAM:PF12770.12
contig_3	10118	10237	-	LGJFBO_01080	4.7	4.8		
contig_3	16810	17295	-	LGJFBO_01084	17.8	6.2		
contig_3	21455	21970	-	LGJFBO_01087	20.0	4.9	PF00578.27|AhpC-TSA	PFAM:PF00578.27
contig_3	22035	22208	-	LGJFBO_01088	6.6	9.8		
contig_3	22236	22898	-	LGJFBO_01089	25.4	9.2		
contig_3	25235	26143	-	LGJFBO_01091	34.1	5.1		
contig_3	26426	26980	+	LGJFBO_01092	21.4	5.5	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04542.20, PFAM:PF04545.22, PFAM:PF08281.18
contig_3	26987	27943	+	LGJFBO_01093	36.3	5.7	PF16344.10|FecR_C	PFAM:PF16344.10
contig_3	30905	31708	-	LGJFBO_01095	31.1	9.0	PF13102.12|Phage_int_SAM_5, PF17293.8|Arm-DNA-bind_5	PFAM:PF13102.12, PFAM:PF17293.8
contig_3	36771	37205	+	LGJFBO_01101	15.9	9.0	PF13102.12|Phage_int_SAM_5	PFAM:PF13102.12
contig_3	69415	69510	+	LGJFBO_01126	3.6	9.7		
contig_3	70722	71189	+	LGJFBO_01128	17.0	9.2	PF00216.26|Bac_DNA_binding, PF14908.11|HU-CCDC81_euk_1, PF18291.6|HU-HIG	PFAM:PF00216.26, PFAM:PF14908.11, PFAM:PF18291.6
contig_3	76186	77397	+	LGJFBO_01133	46.0	8.8	PF02493.26|MORN	PFAM:PF02493.26
contig_3	87275	87382	+	LGJFBO_01141	4.0	6.5		
contig_3	93745	94803	-	LGJFBO_01148	39.7	6.8	PF01408.29|GFO_IDH_MocA, PF02894.22|GFO_IDH_MocA_C, PF03447.22|NAD_binding_3, PF22725.1|GFO_IDH_MocA_C3	PFAM:PF01408.29, PFAM:PF02894.22, PFAM:PF03447.22, PFAM:PF22725.1
contig_3	101040	101249	-	LGJFBO_01155	8.0	6.1	PF10771.15|DUF2582	PFAM:PF10771.15
contig_3	106336	106464	+	LGJFBO_01161	4.9	10.1		
contig_3	128106	128438	+	LGJFBO_01179	13.1	5.0		
contig_3	134017	134127	+	LGJFBO_01185	4.3	4.1		
contig_3	157852	158028	+	LGJFBO_01207	6.9	9.5		
contig_3	160126	160560	-	LGJFBO_01211	16.4	6.4		
contig_3	163478	163927	+	LGJFBO_01218	17.0	9.9		SO:0001217, UniRef:UniRef50_Q64TW7
contig_3	166480	166629	+	LGJFBO_01223	5.9	10.0		
contig_3	166613	166807	-	LGJFBO_01224	7.1	8.9		
contig_3	166832	166930	+	LGJFBO_01225	4.1	9.7		
contig_3	167171	167389	+	LGJFBO_01227	8.2	5.4		SO:0001217, UniRef:UniRef50_Q5CZG0
contig_3	167418	167630	+	LGJFBO_01228	8.2	4.7		
contig_3	167648	167815	+	LGJFBO_01229	6.7	9.4		
contig_3	168281	168439	+	LGJFBO_01231	6.2	4.2		
contig_3	168474	168707	+	LGJFBO_01232	8.6	9.7	PF02810.21|SEC-C	PFAM:PF02810.21
contig_3	170410	170595	+	LGJFBO_01235	7.4	9.9		SO:0001217, UniRef:UniRef50_D1JNG1
contig_3	170611	171102	+	LGJFBO_01236	19.3	9.4		SO:0001217, UniRef:UniRef50_A0A0I9RK12
contig_3	171705	172295	+	LGJFBO_01238	22.1	9.7		
contig_3	172250	172564	+	LGJFBO_01239	11.9	5.3		
contig_3	172591	174807	+	LGJFBO_01240	82.3	5.7		SO:0001217, UniRef:UniRef50_Q64TU8
contig_3	181178	181468	+	LGJFBO_01248	11.2	8.8		
contig_3	183878	184819	+	LGJFBO_01251	35.1	5.4		
contig_3	185619	186014	+	LGJFBO_01253	14.8	9.6	PF08291.16|Peptidase_M15_3	PFAM:PF08291.16
contig_3	191062	193164	+	LGJFBO_01257	78.6	6.3		SO:0001217, UniRef:UniRef50_Q5LCM8
contig_3	193427	194620	+	LGJFBO_01258	44.9	4.9		SO:0001217, UniRef:UniRef50_Q5LCM7
contig_3	198662	198751	+	LGJFBO_01263	3.3	5.3		
contig_3	202257	202376	-	LGJFBO_01268	4.5	4.9		
contig_3	206630	206887	+	LGJFBO_01272	9.6	10.1		SO:0001217, UniRef:UniRef50_Q8A4Z3
contig_3	206813	207505	-	LGJFBO_01273	27.1	9.8	PF00078.32|RVT_1	PFAM:PF00078.32
contig_3	207679	208167	-	LGJFBO_01274	18.6	9.6		
contig_3	221364	221528	-	LGJFBO_01282	6.3	6.5		
contig_3	223701	223964	-	LGJFBO_01284	9.6	6.8		
contig_3	239222	239401	+	LGJFBO_01302	6.9	9.9		SO:0001217, UniRef:UniRef50_A0A139LGL2
contig_3	241212	241418	-	LGJFBO_01305	7.9	9.1		
contig_3	243262	243357	-	LGJFBO_01309	3.6	4.9		
contig_3	243402	243695	+	LGJFBO_01310	11.3	9.7		
contig_3	243759	243938	-	LGJFBO_01311	7.0	9.6		SO:0001217, UniRef:UniRef50_A0A415PT73
contig_3	244121	245215	-	LGJFBO_01312	43.0	9.7	PF13102.12|Phage_int_SAM_5, PF17293.8|Arm-DNA-bind_5	PFAM:PF13102.12, PFAM:PF17293.8
contig_3	245775	245993	-	LGJFBO_01315	8.4	4.7		SO:0001217, UniRef:UniRef50_I8ZLI4
contig_3	247547	247720	+	LGJFBO_01318	6.4	6.2		
contig_3	290857	291876	+	LGJFBO_01350	38.5	8.2	PF06144.19|DNA_pol3_delta	PFAM:PF06144.19
contig_3	293089	293544	+	LGJFBO_01351	17.5	5.2	PF01381.28|HTH_3, PF07022.19|Phage_CI_repr, PF13443.12|HTH_26	PFAM:PF01381.28, PFAM:PF07022.19, PFAM:PF13443.12
contig_3	293507	293647	+	LGJFBO_01352	5.6	6.5		
contig_3	348868	349113	+	LGJFBO_01399	9.4	4.8		
contig_3	349088	349660	+	LGJFBO_01400	21.6	9.4		
contig_3	350363	350710	+	LGJFBO_01401	13.3	5.1		
contig_3	353722	354894	+	LGJFBO_01405	43.8	8.8	PF01061.29|ABC2_membrane	PFAM:PF01061.29
contig_3	361954	362097	-	LGJFBO_01413	5.6	5.6		
contig_3	371566	372804	+	LGJFBO_01419	46.6	5.9	PF00590.25|TP_methylase	PFAM:PF00590.25
contig_3	377422	378024	-	LGJFBO_01423	22.5	6.4		
contig_3	392136	392510	+	LGJFBO_01435	15.3	10.2		SO:0001217, UniRef:UniRef50_A0A396C8L0
contig_3	398127	398747	+	LGJFBO_01440	24.4	9.0		SO:0001217, UniRef:UniRef50_I9V479
contig_3	401556	401696	-	LGJFBO_01444	5.4	10.3		
contig_4	14595	14801	-	LGJFBO_01460	7.7	10.8		
contig_4	15073	15540	+	LGJFBO_01461	17.8	9.5		SO:0001217, UniRef:UniRef50_A0A396BV30
contig_4	15665	16627	+	LGJFBO_01462	37.2	8.4	PF07661.19|MORN_2	PFAM:PF07661.19
contig_4	39339	39536	+	LGJFBO_01480	7.6	5.0		
contig_4	55373	55771	+	LGJFBO_01493	15.4	9.7	PF06713.17|bPH_4	PFAM:PF06713.17
contig_4	72005	72154	+	LGJFBO_01505	5.8	5.6		
contig_4	72126	73094	+	LGJFBO_01506	37.5	7.5		
contig_4	74340	74639	+	LGJFBO_01508	11.4	8.3		
contig_4	77315	77410	-	LGJFBO_01512	3.4	8.5		
contig_4	77773	78816	+	LGJFBO_01514	39.5	5.2	PF15869.11|TolB_like	PFAM:PF15869.11
contig_4	79730	79849	+	LGJFBO_01516	4.4	11.0		
contig_4	81268	81393	+	LGJFBO_01518	4.8	5.7		
contig_4	99114	99281	+	LGJFBO_01537	6.3	10.3		
contig_4	109392	109613	-	LGJFBO_01545	8.6	9.7		
contig_4	113740	114498	+	LGJFBO_01548	27.2	5.1	PF14734.12|DUF4469, PF14848.11|HU-DNA_bdg	PFAM:PF14734.12, PFAM:PF14848.11, SO:0001217, UniRef:UniRef50_K5YL43
contig_4	161685	162059	-	LGJFBO_01588	13.9	9.6		SO:0001217, UniRef:UniRef50_A0A3E5CRD4
contig_4	175706	176476	-	LGJFBO_01602	27.9	6.0	PF00132.30|Hexapep, PF13720.11|Acetyltransf_11, PF25084.1|LbH_EIF2B	PFAM:PF00132.30, PFAM:PF13720.11, PFAM:PF25084.1
contig_4	194206	194343	+	LGJFBO_01614	5.2	4.5		
contig_4	195797	196141	+	LGJFBO_01616	13.4	4.8		
contig_4	214480	215361	-	LGJFBO_01632	34.3	9.2	PF00535.33|Glycos_transf_2, PF13641.12|Glyco_tranf_2_3	PFAM:PF00535.33, PFAM:PF13641.12
contig_4	229270	231036	+	LGJFBO_01644	67.1	5.8	PF13589.12|HATPase_c_3	PFAM:PF13589.12
contig_4	252945	255995	+	LGJFBO_01666	112.7	6.5	PF00009.33|GTP_EFTU, PF04760.21|IF2_N, PF11987.13|IF-2, PF22042.2|EF-G_D2	PFAM:PF00009.33, PFAM:PF04760.21, PFAM:PF11987.13, PFAM:PF22042.2
contig_4	256070	256573	+	LGJFBO_01667	18.1	8.9		
contig_4	291892	292632	-	LGJFBO_01694	28.1	9.6		
contig_4	305495	305698	+	LGJFBO_01706	8.3	10.3		
contig_4	305741	306130	+	LGJFBO_01707	14.2	9.3		
contig_4	308363	308803	-	LGJFBO_01711	17.0	10.3		
contig_4	317846	319159	+	LGJFBO_01720	49.5	9.9	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_5	21906	22052	-	LGJFBO_01761	5.4	9.4		
contig_5	22052	22201	-	LGJFBO_01762	5.5	10.8		
contig_5	29790	30518	+	LGJFBO_01769	27.2	9.6	PF09922.15|LiaF-like_C, PF18917.5|LiaI-LiaF-like_TM1, PF22570.1|LiaF-TM	PFAM:PF09922.15, PFAM:PF18917.5, PFAM:PF22570.1
contig_5	34757	35182	-	LGJFBO_01774	15.8	8.4	PF20203.3|DUF6565	PFAM:PF20203.3
contig_5	48004	48696	-	LGJFBO_01786	26.1	5.0		
contig_5	53716	55203	-	LGJFBO_01790	56.0	5.6		
contig_5	93353	93466	-	LGJFBO_01822	4.6	10.0		
contig_5	95763	95909	-	LGJFBO_01824	5.7	10.0		
contig_5	127984	128430	-	LGJFBO_01847	17.0	4.1		SO:0001217, UniRef:UniRef50_A0A374VEE7
contig_5	149951	150331	+	LGJFBO_01864	13.3	4.6		
