#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:2789465-2789656    -             64 984717at2            -            224   1.7e-21   76.1   0.2   1   1   1.8e-24     2e-21   75.9   0.2     1    51     6    57     6    61 0.93 1_6051 # 2789465 # 2789656 # 1 # ID=1_6051;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=10bp;gc_cont=0.422
1:468100-469521      -            474 984717at2            -            224       0.1   11.4   2.4   1   2     0.018        20    4.0   0.4     3    22   194   213   192   215 0.92 1_1042 # 468100 # 469521 # -1 # ID=1_1042;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.474
1:468100-469521      -            474 984717at2            -            224       0.1   11.4   2.4   2   2    0.0023       2.5    7.0   0.1   109   150   422   464   396   469 0.84 1_1042 # 468100 # 469521 # -1 # ID=1_1042;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.474
1:641430-642215      -            262 984717at2            -            224      0.13   11.2   2.0   1   2      0.62   6.8e+02   -1.0   0.2   136   181    48    93    40    95 0.68 1_1428 # 641430 # 642215 # -1 # ID=1_1428;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.454
1:641430-642215      -            262 984717at2            -            224      0.13   11.2   2.0   2   2   0.00014      0.15   10.9   0.1     2    21    98   117    97   215 0.81 1_1428 # 641430 # 642215 # -1 # ID=1_1428;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.454
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm
# Target file:     data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/long_only/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/long_only/run_bacteria_odb10/hmmer_output/984717at2.out --cpu 1 /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/long_only/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data/wgs_assembly/hybrid_genome_assembly_guide
# Date:            Sun Dec 28 03:00:33 2025
# [ok]
