locus_tag	ftype	length_bp	gene	EC_number	COG	product
LAGGGMOH_00086	CDS	411	fdtA_2	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
LAGGGMOH_00087	gene	1101	megDII			
LAGGGMOH_00087	CDS	1101	megDII	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
LAGGGMOH_00088	gene	1512				
LAGGGMOH_00088	CDS	1512				hypothetical protein
LAGGGMOH_00089	gene	1323	fom1			
LAGGGMOH_00089	CDS	1323	fom1			Fosfomycin biosynthesis bifunctional protein Fom1
LAGGGMOH_00090	gene	1146	bcpC			
LAGGGMOH_00090	CDS	1146	bcpC	4.1.1.82		Phosphonopyruvate decarboxylase
LAGGGMOH_00091	gene	1140				
LAGGGMOH_00091	CDS	1140				hypothetical protein
LAGGGMOH_00092	gene	873				
LAGGGMOH_00092	CDS	873				hypothetical protein
LAGGGMOH_00093	gene	861	arnC_1			
LAGGGMOH_00093	CDS	861	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
LAGGGMOH_00094	gene	1062				
LAGGGMOH_00094	CDS	1062				hypothetical protein
LAGGGMOH_00095	gene	936				
LAGGGMOH_00095	CDS	936				hypothetical protein
LAGGGMOH_00096	gene	1200				
LAGGGMOH_00096	CDS	1200				hypothetical protein
LAGGGMOH_00097	gene	1026				
LAGGGMOH_00097	CDS	1026				hypothetical protein
LAGGGMOH_00098	gene	1029	capD_1			
LAGGGMOH_00098	CDS	1029	capD_1	5.1.3.2	COG1086	UDP-glucose 4-epimerase
LAGGGMOH_00099	gene	1152	wbjC_1			
LAGGGMOH_00099	CDS	1152	wbjC_1	1.1.1.367		UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
LAGGGMOH_00100	gene	1140	wbpI_1			
LAGGGMOH_00100	CDS	1140	wbpI_1	5.1.3.23		UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
LAGGGMOH_00101	gene	1221				
LAGGGMOH_00101	CDS	1221				hypothetical protein
LAGGGMOH_00102	gene	897	gnu_1			
LAGGGMOH_00102	CDS	897	gnu_1	5.1.3.26	COG0451	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
LAGGGMOH_00103	gene	951	wecA_1			
LAGGGMOH_00103	CDS	951	wecA_1	2.7.8.33		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
LAGGGMOH_00104	gene	588				
LAGGGMOH_00104	CDS	588				hypothetical protein
LAGGGMOH_00105	gene	447				
LAGGGMOH_00105	CDS	447				hypothetical protein
LAGGGMOH_00106	gene	1548				
LAGGGMOH_00106	CDS	1548				hypothetical protein
LAGGGMOH_00107	gene	1035	gpr			
LAGGGMOH_00107	CDS	1035	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
LAGGGMOH_00108	gene	2169				
LAGGGMOH_00108	CDS	2169		3.2.1.-	COG1472	Beta-xylosidase
LAGGGMOH_00109	gene	3138				
LAGGGMOH_00109	CDS	3138			COG4771	TonB-dependent receptor P3
LAGGGMOH_00110	gene	1668				
LAGGGMOH_00110	CDS	1668				hypothetical protein
LAGGGMOH_00111	gene	1143				
LAGGGMOH_00111	CDS	1143				hypothetical protein
LAGGGMOH_00112	gene	1782				
LAGGGMOH_00112	CDS	1782				hypothetical protein
LAGGGMOH_00113	gene	1374				
LAGGGMOH_00113	CDS	1374				hypothetical protein
LAGGGMOH_00114	gene	1848				
LAGGGMOH_00114	CDS	1848				hypothetical protein
LAGGGMOH_00115	gene	1116				
LAGGGMOH_00115	CDS	1116		3.2.1.78		Mannan endo-1,4-beta-mannosidase
LAGGGMOH_00116	gene	1302				
LAGGGMOH_00116	CDS	1302				hypothetical protein
LAGGGMOH_00117	gene	2439				
LAGGGMOH_00117	CDS	2439		3.2.1.-	COG1472	Beta-xylosidase
LAGGGMOH_00118	gene	1254				
LAGGGMOH_00118	CDS	1254				hypothetical protein
LAGGGMOH_00119	gene	639	glmS			
LAGGGMOH_00119	CDS	639	glmS	5.4.99.1		Glutamate mutase sigma subunit
LAGGGMOH_00120	gene	693				
LAGGGMOH_00120	CDS	693				hypothetical protein
LAGGGMOH_00121	gene	1005	hemE			
LAGGGMOH_00121	CDS	1005	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
LAGGGMOH_00122	gene	1125	manA_1			
LAGGGMOH_00122	CDS	1125	manA_1	3.2.1.78	COG4124	Mannan endo-1,4-beta-mannosidase
LAGGGMOH_00123	gene	1173				
LAGGGMOH_00123	CDS	1173		2.4.1.281	COG2152	4-O-beta-D-mannosyl-D-glucose phosphorylase
LAGGGMOH_00124	gene	1389	yagG			
LAGGGMOH_00124	CDS	1389	yagG		COG2211	Putative glycoside/cation symporter YagG
LAGGGMOH_00125	gene	1194	bfce_1			
LAGGGMOH_00125	CDS	1194	bfce_1	5.1.3.11	COG2942	Cellobiose 2-epimerase
LAGGGMOH_00126	gene	1764				
LAGGGMOH_00126	CDS	1764				hypothetical protein
LAGGGMOH_00127	gene	1461				
LAGGGMOH_00127	CDS	1461				hypothetical protein
LAGGGMOH_00128	gene	1131	rutC			
LAGGGMOH_00128	CDS	1131	rutC	3.5.-.-		3-aminoacrylate deaminase RutC
LAGGGMOH_00129	gene	135				
LAGGGMOH_00129	CDS	135				hypothetical protein
LAGGGMOH_00130	gene	1149				
LAGGGMOH_00130	CDS	1149				hypothetical protein
LAGGGMOH_00131	gene	1275				
LAGGGMOH_00131	CDS	1275				hypothetical protein
LAGGGMOH_00132	gene	2700				
LAGGGMOH_00132	CDS	2700				hypothetical protein
LAGGGMOH_00133	gene	2760	rcsC_2			
LAGGGMOH_00133	CDS	2760	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
LAGGGMOH_00134	gene	1437	ndhB			
LAGGGMOH_00134	CDS	1437	ndhB	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
LAGGGMOH_00135	gene	1485	ndhD1			
LAGGGMOH_00135	CDS	1485	ndhD1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
LAGGGMOH_00136	gene	1911	nuoL			
LAGGGMOH_00136	CDS	1911	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
LAGGGMOH_00137	gene	312				
LAGGGMOH_00137	CDS	312		7.1.1.-		NADH-quinone oxidoreductase subunit 11
LAGGGMOH_00138	gene	513	nuoJ			
LAGGGMOH_00138	CDS	513	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
LAGGGMOH_00139	gene	480	nuoI			
LAGGGMOH_00139	CDS	480	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
LAGGGMOH_00140	gene	1077	nuoH			
LAGGGMOH_00140	CDS	1077	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
LAGGGMOH_00141	gene	1593	nuoC2			
LAGGGMOH_00141	CDS	1593	nuoC2	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D 2
LAGGGMOH_00142	gene	582	nqo6			
LAGGGMOH_00142	CDS	582	nqo6	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit 6
LAGGGMOH_00143	gene	351	ndhC			
LAGGGMOH_00143	CDS	351	ndhC	7.1.1.-	COG0838	NAD(P)H-quinone oxidoreductase subunit 3
LAGGGMOH_00144	gene	378				
LAGGGMOH_00144	CDS	378				hypothetical protein
LAGGGMOH_00145	gene	1437	trkH			
LAGGGMOH_00145	CDS	1437	trkH		COG0168	Trk system potassium uptake protein TrkH
LAGGGMOH_00146	gene	1341	trkA			
LAGGGMOH_00146	CDS	1341	trkA		COG0569	Trk system potassium uptake protein TrkA
LAGGGMOH_00147	gene	1947	dxs_1			
LAGGGMOH_00147	CDS	1947	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
LAGGGMOH_00148	gene	1341	estD			
LAGGGMOH_00148	CDS	1341	estD	3.1.1.1	COG1073	Esterase EstD
LAGGGMOH_00149	gene	303				
LAGGGMOH_00149	CDS	303				hypothetical protein
LAGGGMOH_00150	gene	1134				
LAGGGMOH_00150	CDS	1134				hypothetical protein
LAGGGMOH_00151	gene	648	gph			
LAGGGMOH_00151	CDS	648	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
LAGGGMOH_00152	gene	1557				
LAGGGMOH_00152	CDS	1557		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
LAGGGMOH_00153	gene	2079				
LAGGGMOH_00153	CDS	2079				hypothetical protein
LAGGGMOH_00154	gene	1383				
LAGGGMOH_00154	CDS	1383				hypothetical protein
LAGGGMOH_00155	gene	1446				
LAGGGMOH_00155	CDS	1446		3.1.6.-	COG3119	Endo-4-O-sulfatase
LAGGGMOH_00156	gene	1983				
LAGGGMOH_00156	CDS	1983				hypothetical protein
LAGGGMOH_00157	gene	3186				
LAGGGMOH_00157	CDS	3186			COG4771	TonB-dependent receptor P39
LAGGGMOH_00158	gene	4086	rcsC_3			
LAGGGMOH_00158	CDS	4086	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
LAGGGMOH_00159	gene	1497	exuT_1			
LAGGGMOH_00159	CDS	1497	exuT_1		COG2271	Hexuronate transporter
LAGGGMOH_00160	gene	1350				
LAGGGMOH_00160	CDS	1350				hypothetical protein
LAGGGMOH_00161	gene	1248				
LAGGGMOH_00161	CDS	1248				hypothetical protein
LAGGGMOH_00162	gene	3429				
LAGGGMOH_00162	CDS	3429				hypothetical protein
LAGGGMOH_00163	gene	801	tatC2			
LAGGGMOH_00163	CDS	801	tatC2		COG0805	Sec-independent protein translocase protein TatCy
LAGGGMOH_00164	gene	228	tatA			
LAGGGMOH_00164	CDS	228	tatA			Sec-independent protein translocase protein TatA
LAGGGMOH_00165	gene	2496				
LAGGGMOH_00165	CDS	2496		5.1.1.1		Alanine racemase
LAGGGMOH_00166	gene	987				
LAGGGMOH_00166	CDS	987				hypothetical protein
LAGGGMOH_00167	gene	366	mecI			
LAGGGMOH_00167	CDS	366	mecI			Methicillin resistance regulatory protein MecI
LAGGGMOH_00168	gene	1341				
LAGGGMOH_00168	CDS	1341				hypothetical protein
LAGGGMOH_00169	gene	114				
LAGGGMOH_00169	CDS	114				hypothetical protein
LAGGGMOH_00170	gene	2043				
LAGGGMOH_00170	CDS	2043				hypothetical protein
LAGGGMOH_00171	gene	1176				
LAGGGMOH_00171	CDS	1176				hypothetical protein
LAGGGMOH_00172	gene	312				
LAGGGMOH_00172	CDS	312				hypothetical protein
LAGGGMOH_00173	gene	1002	miaA_1			
LAGGGMOH_00173	CDS	1002	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
LAGGGMOH_00174	gene	669				
LAGGGMOH_00174	CDS	669				hypothetical protein
LAGGGMOH_00175	gene	768	lpxA_1			
LAGGGMOH_00175	CDS	768	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
LAGGGMOH_00176	gene	1386	lpxC			
LAGGGMOH_00176	CDS	1386	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
LAGGGMOH_00177	gene	1041	lpxD			
LAGGGMOH_00177	CDS	1041	lpxD	2.3.1.191		UDP-3-O-acylglucosamine N-acyltransferase
LAGGGMOH_00178	gene	1230				
LAGGGMOH_00178	CDS	1230				hypothetical protein
LAGGGMOH_00179	gene	825	pyrF			
LAGGGMOH_00179	CDS	825	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
LAGGGMOH_00180	gene	1113	prfA			
LAGGGMOH_00180	CDS	1113	prfA		COG0216	Peptide chain release factor RF1
LAGGGMOH_00181	gene	1167	purM			
LAGGGMOH_00181	CDS	1167	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
LAGGGMOH_00182	gene	186				
LAGGGMOH_00182	CDS	186				hypothetical protein
LAGGGMOH_00183	gene	129				
LAGGGMOH_00183	CDS	129				hypothetical protein
LAGGGMOH_00184	gene	582	lemA_1			
LAGGGMOH_00184	CDS	582	lemA_1		COG1704	Protein LemA
LAGGGMOH_00185	gene	924				
LAGGGMOH_00185	CDS	924				hypothetical protein
LAGGGMOH_00186	gene	951				
LAGGGMOH_00186	CDS	951				hypothetical protein
LAGGGMOH_00187	gene	744	aroE			
LAGGGMOH_00187	CDS	744	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
LAGGGMOH_00188	gene	738	ubiE_1			
LAGGGMOH_00188	CDS	738	ubiE_1	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
LAGGGMOH_00189	gene	942	purC			
LAGGGMOH_00189	CDS	942	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
LAGGGMOH_00190	gene	1014				
LAGGGMOH_00190	CDS	1014			COG1702	PhoH-like protein
LAGGGMOH_00191	gene	681				
LAGGGMOH_00191	CDS	681				hypothetical protein
LAGGGMOH_00192	gene	1638	floT			
LAGGGMOH_00192	CDS	1638	floT		COG2268	Flotillin-like protein FloT
LAGGGMOH_00193	gene	498				
LAGGGMOH_00193	CDS	498				hypothetical protein
LAGGGMOH_00194	gene	1788	glaB_1			
LAGGGMOH_00194	CDS	1788	glaB_1	3.2.1.-	COG5434	Alpha-1,3-galactosidase B
LAGGGMOH_00195	gene	1155				
LAGGGMOH_00195	CDS	1155				hypothetical protein
LAGGGMOH_00196	gene	759	truA			
LAGGGMOH_00196	CDS	759	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
LAGGGMOH_00197	gene	900				
LAGGGMOH_00197	CDS	900				hypothetical protein
LAGGGMOH_00198	gene	654				
LAGGGMOH_00198	CDS	654				hypothetical protein
LAGGGMOH_00199	gene	1086	nahK			
LAGGGMOH_00199	CDS	1086	nahK	2.7.1.162		N-acetylhexosamine 1-kinase
LAGGGMOH_00200	gene	3336	lacZ_2			
LAGGGMOH_00200	CDS	3336	lacZ_2	3.2.1.23	COG3250	Beta-galactosidase
LAGGGMOH_00201	gene	813				
LAGGGMOH_00201	CDS	813				hypothetical protein
LAGGGMOH_00202	gene	1395				
LAGGGMOH_00202	CDS	1395		3.2.1.-	COG0673	Glycosyl hydrolase family 109 protein 1
LAGGGMOH_00203	gene	2268				
LAGGGMOH_00203	CDS	2268				hypothetical protein
LAGGGMOH_00204	gene	297				
LAGGGMOH_00204	CDS	297				hypothetical protein
LAGGGMOH_00205	gene	2772				
LAGGGMOH_00205	CDS	2772				hypothetical protein
LAGGGMOH_00206	gene	3294				
LAGGGMOH_00206	CDS	3294				hypothetical protein
LAGGGMOH_00207	gene	1380	xylE_1			
LAGGGMOH_00207	CDS	1380	xylE_1		COG0477	D-xylose-proton symporter
LAGGGMOH_00208	gene	897	btr_1			
LAGGGMOH_00208	CDS	897	btr_1		COG0614	HTH-type transcriptional activator Btr
LAGGGMOH_00209	gene	2652	xyl3A			
LAGGGMOH_00209	CDS	2652	xyl3A	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
LAGGGMOH_00210	gene	1437				
LAGGGMOH_00210	CDS	1437				hypothetical protein
LAGGGMOH_00211	gene	1476				
LAGGGMOH_00211	CDS	1476				hypothetical protein
LAGGGMOH_00212	gene	1638				
LAGGGMOH_00212	CDS	1638			COG0702	SusD-like protein P2
LAGGGMOH_00213	gene	3318	susC_1			
LAGGGMOH_00213	CDS	3318	susC_1		COG1629	TonB-dependent receptor SusC
LAGGGMOH_00214	gene	987				
LAGGGMOH_00214	CDS	987				hypothetical protein
LAGGGMOH_00215	gene	576	rpoE_1			
LAGGGMOH_00215	CDS	576	rpoE_1		COG1595	ECF RNA polymerase sigma factor RpoE
LAGGGMOH_00216	gene	111				
LAGGGMOH_00216	CDS	111				hypothetical protein
LAGGGMOH_00217	gene	3312				
LAGGGMOH_00217	CDS	3312			COG4771	TonB-dependent receptor P39
LAGGGMOH_00218	gene	1767				
LAGGGMOH_00218	CDS	1767				hypothetical protein
LAGGGMOH_00219	gene	3411	susC_2			
LAGGGMOH_00219	CDS	3411	susC_2		COG1629	TonB-dependent receptor SusC
LAGGGMOH_00220	gene	1761				
LAGGGMOH_00220	CDS	1761				hypothetical protein
LAGGGMOH_00221	gene	3393	susC_3			
LAGGGMOH_00221	CDS	3393	susC_3		COG1629	TonB-dependent receptor SusC
LAGGGMOH_00222	gene	1779				
LAGGGMOH_00222	CDS	1779				hypothetical protein
LAGGGMOH_00223	gene	1251				
LAGGGMOH_00223	CDS	1251		3.2.1.-	COG0673	Glycosyl hydrolase family 109 protein 1
LAGGGMOH_00224	gene	74				
LAGGGMOH_00224	tRNA	74				tRNA-Gly(tcc)
LAGGGMOH_00225	gene	84				
LAGGGMOH_00225	tRNA	84				tRNA-Tyr(gta)
LAGGGMOH_00226	gene	495	ribH			
LAGGGMOH_00226	CDS	495	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
LAGGGMOH_00227	gene	684	cpoB_1			
LAGGGMOH_00227	CDS	684	cpoB_1			Cell division coordinator CpoB
LAGGGMOH_00228	gene	1113	recF			
LAGGGMOH_00228	CDS	1113	recF		COG1195	DNA replication and repair protein RecF
LAGGGMOH_00229	gene	291				
LAGGGMOH_00229	CDS	291				hypothetical protein
LAGGGMOH_00230	gene	1683				
LAGGGMOH_00230	CDS	1683				IS1182 family transposase ISBf5
LAGGGMOH_00231	gene	789				
LAGGGMOH_00231	CDS	789				hypothetical protein
LAGGGMOH_00232	gene	456	ygfA			
LAGGGMOH_00232	CDS	456	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
LAGGGMOH_00233	gene	1728				
LAGGGMOH_00233	CDS	1728				hypothetical protein
LAGGGMOH_00234	gene	438	tadA_1			
LAGGGMOH_00234	CDS	438	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
LAGGGMOH_00235	gene	498				
LAGGGMOH_00235	CDS	498				hypothetical protein
LAGGGMOH_00236	gene	2076	prlC			
LAGGGMOH_00236	CDS	2076	prlC	3.4.24.70		Oligopeptidase A
LAGGGMOH_00237	gene	1002	gapA			
