locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFOHMJLD_00077	CDS	1455				hypothetical protein
IFOHMJLD_00078	gene	1389				
IFOHMJLD_00078	CDS	1389				hypothetical protein
IFOHMJLD_00079	gene	1206	wecC_1			
IFOHMJLD_00079	CDS	1206	wecC_1	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
IFOHMJLD_00080	gene	1155				
IFOHMJLD_00080	CDS	1155		5.1.3.14		UDP-N-acetylglucosamine 2-epimerase
IFOHMJLD_00081	gene	1077				
IFOHMJLD_00081	CDS	1077				hypothetical protein
IFOHMJLD_00082	gene	1095				
IFOHMJLD_00082	CDS	1095				hypothetical protein
IFOHMJLD_00083	gene	510	dapH_1			
IFOHMJLD_00083	CDS	510	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
IFOHMJLD_00084	gene	1020	capD_1			
IFOHMJLD_00084	CDS	1020	capD_1	5.1.3.2	COG1086	UDP-glucose 4-epimerase
IFOHMJLD_00085	gene	1134	wbjC_1			
IFOHMJLD_00085	CDS	1134	wbjC_1	1.1.1.367		UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
IFOHMJLD_00086	gene	1131	wbpI_1			
IFOHMJLD_00086	CDS	1131	wbpI_1	5.1.3.23		UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
IFOHMJLD_00087	gene	1107				
IFOHMJLD_00087	CDS	1107				hypothetical protein
IFOHMJLD_00088	gene	1224	arnB			
IFOHMJLD_00088	CDS	1224	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
IFOHMJLD_00089	gene	588				
IFOHMJLD_00089	CDS	588				hypothetical protein
IFOHMJLD_00090	gene	75				
IFOHMJLD_00090	tRNA	75				tRNA-Thr(tgt)
IFOHMJLD_00091	gene	597	resA_1			
IFOHMJLD_00091	CDS	597	resA_1			Thiol-disulfide oxidoreductase ResA
IFOHMJLD_00092	gene	1866				
IFOHMJLD_00092	CDS	1866				hypothetical protein
IFOHMJLD_00093	gene	735				
IFOHMJLD_00093	CDS	735				hypothetical protein
IFOHMJLD_00094	gene	189				
IFOHMJLD_00094	CDS	189				hypothetical protein
IFOHMJLD_00095	gene	381				
IFOHMJLD_00095	CDS	381				hypothetical protein
IFOHMJLD_00096	gene	1080				
IFOHMJLD_00096	CDS	1080				hypothetical protein
IFOHMJLD_00097	gene	726				
IFOHMJLD_00097	CDS	726				hypothetical protein
IFOHMJLD_00098	gene	708	pdxH			
IFOHMJLD_00098	CDS	708	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
IFOHMJLD_00099	gene	705	yhhW_1			
IFOHMJLD_00099	CDS	705	yhhW_1	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
IFOHMJLD_00100	gene	1812				
IFOHMJLD_00100	CDS	1812				hypothetical protein
IFOHMJLD_00101	gene	108				
IFOHMJLD_00101	CDS	108				hypothetical protein
IFOHMJLD_00102	gene	543				
IFOHMJLD_00102	CDS	543				hypothetical protein
IFOHMJLD_00103	gene	1011	ldhA			
IFOHMJLD_00103	CDS	1011	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
IFOHMJLD_00104	gene	1506				
IFOHMJLD_00104	CDS	1506				hypothetical protein
IFOHMJLD_00105	gene	1152				
IFOHMJLD_00105	CDS	1152				hypothetical protein
IFOHMJLD_00106	gene	1290				
IFOHMJLD_00106	CDS	1290				hypothetical protein
IFOHMJLD_00107	gene	504	ecfG_1			
IFOHMJLD_00107	CDS	504	ecfG_1			ECF RNA polymerase sigma factor EcfG
IFOHMJLD_00108	gene	681				
IFOHMJLD_00108	CDS	681				queuosine precursor transporter
IFOHMJLD_00109	gene	660	queC			
IFOHMJLD_00109	CDS	660	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
IFOHMJLD_00110	gene	456	queF			
IFOHMJLD_00110	CDS	456	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
IFOHMJLD_00111	gene	474	rlmH			
IFOHMJLD_00111	CDS	474	rlmH	2.1.1.177		Ribosomal RNA large subunit methyltransferase H
IFOHMJLD_00112	gene	393				
IFOHMJLD_00112	CDS	393				hypothetical protein
IFOHMJLD_00113	gene	840	nadC			
IFOHMJLD_00113	CDS	840	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
IFOHMJLD_00114	gene	552	ylaC			
IFOHMJLD_00114	CDS	552	ylaC		COG1595	RNA polymerase sigma factor YlaC
IFOHMJLD_00115	gene	1041				
IFOHMJLD_00115	CDS	1041				hypothetical protein
IFOHMJLD_00116	gene	513				
IFOHMJLD_00116	CDS	513				hypothetical protein
IFOHMJLD_00117	gene	705				
IFOHMJLD_00117	CDS	705				hypothetical protein
IFOHMJLD_00118	gene	975				
IFOHMJLD_00118	CDS	975		1.6.5.9		NADH:quinone reductase
IFOHMJLD_00119	gene	1110	ald			
IFOHMJLD_00119	CDS	1110	ald	1.4.1.1	COG0686	Alanine dehydrogenase
IFOHMJLD_00120	gene	1653				
IFOHMJLD_00120	CDS	1653				hypothetical protein
IFOHMJLD_00121	gene	1638				
IFOHMJLD_00121	CDS	1638				hypothetical protein
IFOHMJLD_00122	gene	1746	pgcA			
IFOHMJLD_00122	CDS	1746	pgcA	5.4.2.2	COG1109	Phosphoglucomutase
IFOHMJLD_00123	gene	621				
IFOHMJLD_00123	CDS	621				hypothetical protein
IFOHMJLD_00124	gene	900				
IFOHMJLD_00124	CDS	900				hypothetical protein
IFOHMJLD_00125	gene	2400				
IFOHMJLD_00125	CDS	2400				hypothetical protein
IFOHMJLD_00126	gene	114				
IFOHMJLD_00126	CDS	114				hypothetical protein
IFOHMJLD_00127	gene	915	xerC_2			
IFOHMJLD_00127	CDS	915	xerC_2			Tyrosine recombinase XerC
IFOHMJLD_00128	gene	897	hdc			
IFOHMJLD_00128	CDS	897	hdc	4.1.1.22		Histidine decarboxylase proenzyme
IFOHMJLD_00129	gene	780	nudC_1			
IFOHMJLD_00129	CDS	780	nudC_1	3.6.1.22		NAD-capped RNA hydrolase NudC
IFOHMJLD_00130	gene	1590	ybiT_1			
IFOHMJLD_00130	CDS	1590	ybiT_1		COG0488	putative ATP-binding protein YbiT
IFOHMJLD_00131	gene	1377	rclA			
IFOHMJLD_00131	CDS	1377	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
IFOHMJLD_00132	gene	603	rclC			
IFOHMJLD_00132	CDS	603	rclC		COG3059	Inner membrane protein RclC
IFOHMJLD_00133	gene	807				
IFOHMJLD_00133	CDS	807				hypothetical protein
IFOHMJLD_00134	gene	483	cdd			
IFOHMJLD_00134	CDS	483	cdd	3.5.4.5	COG0295	Cytidine deaminase
IFOHMJLD_00135	gene	900				
IFOHMJLD_00135	CDS	900				hypothetical protein
IFOHMJLD_00136	gene	1248				
IFOHMJLD_00136	CDS	1248				hypothetical protein
IFOHMJLD_00137	gene	1266				
IFOHMJLD_00137	CDS	1266				hypothetical protein
IFOHMJLD_00138	gene	1269				
IFOHMJLD_00138	CDS	1269				hypothetical protein
IFOHMJLD_00139	gene	1305				
IFOHMJLD_00139	CDS	1305				hypothetical protein
IFOHMJLD_00140	gene	1308				
IFOHMJLD_00140	CDS	1308				hypothetical protein
IFOHMJLD_00141	gene	1308				
IFOHMJLD_00141	CDS	1308				hypothetical protein
IFOHMJLD_00142	gene	1290				
IFOHMJLD_00142	CDS	1290				hypothetical protein
IFOHMJLD_00143	gene	1308				
IFOHMJLD_00143	CDS	1308				hypothetical protein
IFOHMJLD_00144	gene	1263				
IFOHMJLD_00144	CDS	1263				hypothetical protein
IFOHMJLD_00145	gene	909				
IFOHMJLD_00145	CDS	909				hypothetical protein
IFOHMJLD_00146	gene	900	rhaR_1			
IFOHMJLD_00146	CDS	900	rhaR_1			HTH-type transcriptional activator RhaR
IFOHMJLD_00147	gene	1266				
IFOHMJLD_00147	CDS	1266				hypothetical protein
IFOHMJLD_00148	gene	666	yknY_1			
IFOHMJLD_00148	CDS	666	yknY_1	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
IFOHMJLD_00149	gene	666	yknY_2			
IFOHMJLD_00149	CDS	666	yknY_2	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
IFOHMJLD_00150	gene	630				
IFOHMJLD_00150	CDS	630				hypothetical protein
IFOHMJLD_00151	gene	1299				
IFOHMJLD_00151	CDS	1299				hypothetical protein
IFOHMJLD_00152	gene	1245				
IFOHMJLD_00152	CDS	1245				hypothetical protein
IFOHMJLD_00153	gene	2613	rcsC_1			
IFOHMJLD_00153	CDS	2613	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
IFOHMJLD_00154	gene	1473				
IFOHMJLD_00154	CDS	1473				hypothetical protein
IFOHMJLD_00155	gene	1350	atoC_1			
IFOHMJLD_00155	CDS	1350	atoC_1		COG2204	Regulatory protein AtoC
IFOHMJLD_00156	gene	1293	sasA_1			
IFOHMJLD_00156	CDS	1293	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
IFOHMJLD_00157	gene	1644	asD			
IFOHMJLD_00157	CDS	1644	asD	2.6.1.1		Bifunctional aspartate aminotransferase and L-aspartate beta-decarboxylase
IFOHMJLD_00158	gene	1698	aspT_1			
IFOHMJLD_00158	CDS	1698	aspT_1			Aspartate/alanine antiporter
IFOHMJLD_00159	gene	990				
IFOHMJLD_00159	CDS	990				hypothetical protein
IFOHMJLD_00160	gene	285				
IFOHMJLD_00160	CDS	285				hypothetical protein
IFOHMJLD_00161	gene	2316	hsdR			
IFOHMJLD_00161	CDS	2316	hsdR	3.1.21.3		Type I restriction enzyme EcoAI endonuclease subunit
IFOHMJLD_00162	gene	1521	hsdM			
IFOHMJLD_00162	CDS	1521	hsdM	2.1.1.72	COG0286	Type I restriction enzymeP methylase subunit
IFOHMJLD_00163	gene	1017				
IFOHMJLD_00163	CDS	1017				hypothetical protein
IFOHMJLD_00164	gene	447				
IFOHMJLD_00164	CDS	447				hypothetical protein
IFOHMJLD_00165	gene	1572	hsdS			
IFOHMJLD_00165	CDS	1572	hsdS		COG0732	Type I restriction enzyme EcoAI specificity subunit
IFOHMJLD_00166	gene	600				
IFOHMJLD_00166	CDS	600				hypothetical protein
IFOHMJLD_00167	gene	807	xerD_1			
IFOHMJLD_00167	CDS	807	xerD_1			Tyrosine recombinase XerD
IFOHMJLD_00168	gene	915				
IFOHMJLD_00168	CDS	915				hypothetical protein
IFOHMJLD_00169	gene	348				
IFOHMJLD_00169	CDS	348				hypothetical protein
IFOHMJLD_00170	gene	639				
IFOHMJLD_00170	CDS	639				hypothetical protein
IFOHMJLD_00171	gene	483				
IFOHMJLD_00171	CDS	483				hypothetical protein
IFOHMJLD_00172	gene	891	rffH_1			
IFOHMJLD_00172	CDS	891	rffH_1	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
IFOHMJLD_00173	gene	576	rfbC_1			
IFOHMJLD_00173	CDS	576	rfbC_1	5.1.3.13		dTDP-4-dehydrorhamnose 3,5-epimerase
IFOHMJLD_00174	gene	390				
IFOHMJLD_00174	CDS	390				hypothetical protein
IFOHMJLD_00175	gene	1317	tuaD_1			
IFOHMJLD_00175	CDS	1317	tuaD_1	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
IFOHMJLD_00176	gene	936	UXNAcS_1			
IFOHMJLD_00176	CDS	936	UXNAcS_1	4.1.1.128	COG0451	UDP-N-acetyl-alpha-D-glucosaminuronate decarboxylase
IFOHMJLD_00177	gene	216				
IFOHMJLD_00177	CDS	216				hypothetical protein
IFOHMJLD_00178	gene	204				
IFOHMJLD_00178	CDS	204				hypothetical protein
IFOHMJLD_00179	gene	1434	tuaB_1			
IFOHMJLD_00179	CDS	1434	tuaB_1		COG2244	Teichuronic acid biosynthesis protein TuaB
IFOHMJLD_00180	gene	933	gspA_1			
IFOHMJLD_00180	CDS	933	gspA_1		COG1442	General stress protein A
IFOHMJLD_00181	gene	861	wbgN_1			
IFOHMJLD_00181	CDS	861	wbgN_1	2.4.1.341		Alpha-1,2-colitosyltransferase
IFOHMJLD_00182	gene	762				
IFOHMJLD_00182	CDS	762				hypothetical protein
IFOHMJLD_00183	gene	1017				
IFOHMJLD_00183	CDS	1017				hypothetical protein
IFOHMJLD_00184	gene	1038				
IFOHMJLD_00184	CDS	1038				hypothetical protein
IFOHMJLD_00185	gene	720				
IFOHMJLD_00185	CDS	720				hypothetical protein
IFOHMJLD_00186	gene	1056				
IFOHMJLD_00186	CDS	1056				hypothetical protein
IFOHMJLD_00187	gene	1044	wclY			
IFOHMJLD_00187	CDS	1044	wclY	2.4.1.-		O-antigen biosynthesis glycosyltransferase WclY
IFOHMJLD_00188	gene	825	wbbL			
IFOHMJLD_00188	CDS	825	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
IFOHMJLD_00189	gene	909	gnu_1			
IFOHMJLD_00189	CDS	909	gnu_1	5.1.3.26	COG0451	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
IFOHMJLD_00190	gene	99				
IFOHMJLD_00190	CDS	99				hypothetical protein
IFOHMJLD_00191	gene	951	wecA_1			
IFOHMJLD_00191	CDS	951	wecA_1	2.7.8.33		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
IFOHMJLD_00192	gene	588				
IFOHMJLD_00192	CDS	588				hypothetical protein
IFOHMJLD_00193	gene	216				
IFOHMJLD_00193	CDS	216				hypothetical protein
IFOHMJLD_00194	gene	327				
IFOHMJLD_00194	CDS	327			COG3550	putative protein
IFOHMJLD_00195	gene	336				
IFOHMJLD_00195	CDS	336				hypothetical protein
IFOHMJLD_00196	gene	1575	rne			
IFOHMJLD_00196	CDS	1575	rne	3.1.26.12	COG1530	Ribonuclease E
IFOHMJLD_00197	gene	276	hup_1			
IFOHMJLD_00197	CDS	276	hup_1			DNA-binding protein HU
IFOHMJLD_00198	gene	1047	mutY			
IFOHMJLD_00198	CDS	1047	mutY	3.2.2.31		Adenine DNA glycosylase
IFOHMJLD_00199	gene	1569				
IFOHMJLD_00199	CDS	1569		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
IFOHMJLD_00200	gene	459	ssb			
IFOHMJLD_00200	CDS	459	ssb		COG0629	Single-stranded DNA-binding protein
IFOHMJLD_00201	gene	1347				
IFOHMJLD_00201	CDS	1347				hypothetical protein
IFOHMJLD_00202	gene	651				
IFOHMJLD_00202	CDS	651				hypothetical protein
IFOHMJLD_00203	gene	2307				
IFOHMJLD_00203	CDS	2307				hypothetical protein
IFOHMJLD_00204	gene	105				
IFOHMJLD_00204	CDS	105				hypothetical protein
IFOHMJLD_00205	gene	303				
IFOHMJLD_00205	CDS	303				hypothetical protein
IFOHMJLD_00206	gene	864				
IFOHMJLD_00206	CDS	864				hypothetical protein
IFOHMJLD_00207	gene	1086				
IFOHMJLD_00207	CDS	1086				hypothetical protein
IFOHMJLD_00208	gene	1029				
IFOHMJLD_00208	CDS	1029				hypothetical protein
IFOHMJLD_00209	gene	1539				
IFOHMJLD_00209	CDS	1539				hypothetical protein
IFOHMJLD_00210	gene	1326				
IFOHMJLD_00210	CDS	1326				hypothetical protein
IFOHMJLD_00211	gene	2043				
IFOHMJLD_00211	CDS	2043				hypothetical protein
IFOHMJLD_00212	gene	2181	btuB_1			
IFOHMJLD_00212	CDS	2181	btuB_1			Vitamin B12 transporter BtuB
IFOHMJLD_00213	gene	936				
IFOHMJLD_00213	CDS	936				hypothetical protein
IFOHMJLD_00214	gene	1839				
IFOHMJLD_00214	CDS	1839				hypothetical protein
IFOHMJLD_00215	gene	1782	sasA_2			
IFOHMJLD_00215	CDS	1782	sasA_2	2.7.13.3		Adaptive-response sensory-kinase SasA
IFOHMJLD_00216	gene	690	walR			
IFOHMJLD_00216	CDS	690	walR		COG0745	Transcriptional regulatory protein WalR
IFOHMJLD_00217	gene	1194				
IFOHMJLD_00217	CDS	1194				hypothetical protein
IFOHMJLD_00218	gene	1476				
IFOHMJLD_00218	CDS	1476				hypothetical protein
IFOHMJLD_00219	gene	384				
IFOHMJLD_00219	CDS	384				hypothetical protein
IFOHMJLD_00220	gene	831				
IFOHMJLD_00220	CDS	831				hypothetical protein
IFOHMJLD_00221	gene	1866	ettA_1			
IFOHMJLD_00221	CDS	1866	ettA_1	3.6.1.-	COG0488	Energy-dependent translational throttle protein EttA
IFOHMJLD_00222	gene	834				
IFOHMJLD_00222	CDS	834				hypothetical protein
IFOHMJLD_00223	gene	825				
IFOHMJLD_00223	CDS	825		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
IFOHMJLD_00224	gene	2040	cslA			
IFOHMJLD_00224	CDS	2040	cslA	4.2.2.5	COG5492	Chondroitinase-AC
IFOHMJLD_00225	gene	1236				
IFOHMJLD_00225	CDS	1236				hypothetical protein
IFOHMJLD_00226	gene	1200	aspC			
IFOHMJLD_00226	CDS	1200	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
IFOHMJLD_00227	gene	1308	lolE_1			
IFOHMJLD_00227	CDS	1308	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
IFOHMJLD_00228	gene	1173				
IFOHMJLD_00228	CDS	1173				hypothetical protein
IFOHMJLD_00229	gene	999				
IFOHMJLD_00229	CDS	999				hypothetical protein
IFOHMJLD_00230	gene	1257	sasA_3			
IFOHMJLD_00230	CDS	1257	sasA_3	2.7.13.3		Adaptive-response sensory-kinase SasA
IFOHMJLD_00231	gene	1413	zraR_1			
IFOHMJLD_00231	CDS	1413	zraR_1			Transcriptional regulatory protein ZraR
IFOHMJLD_00232	gene	1329				
IFOHMJLD_00232	CDS	1329				hypothetical protein
IFOHMJLD_00233	gene	1248	mdtA_1			
IFOHMJLD_00233	CDS	1248	mdtA_1			Multidrug resistance protein MdtA
IFOHMJLD_00234	gene	2406				
IFOHMJLD_00234	CDS	2406				hypothetical protein
IFOHMJLD_00235	gene	717	macB_1			
IFOHMJLD_00235	CDS	717	macB_1	7.6.2.-	COG0577	Macrolide export ATP-binding/permease protein MacB
IFOHMJLD_00236	gene	2421				
IFOHMJLD_00236	CDS	2421				hypothetical protein
IFOHMJLD_00237	gene	1347	ndhA			
IFOHMJLD_00237	CDS	1347	ndhA	1.6.5.9	COG1252	Type II NADH:quinone oxidoreductase NdhA
IFOHMJLD_00238	gene	642	bioD1			
IFOHMJLD_00238	CDS	642	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
IFOHMJLD_00239	gene	1446	bioC_1			
IFOHMJLD_00239	CDS	1446	bioC_1	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
IFOHMJLD_00240	gene	1188	bioF			
IFOHMJLD_00240	CDS	1188	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
IFOHMJLD_00241	gene	2238	bioA			
IFOHMJLD_00241	CDS	2238	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
IFOHMJLD_00242	gene	408				
IFOHMJLD_00242	CDS	408				hypothetical protein
IFOHMJLD_00243	gene	3129				
IFOHMJLD_00243	CDS	3129			COG4771	TonB-dependent receptor P3
IFOHMJLD_00244	gene	1593				
IFOHMJLD_00244	CDS	1593				hypothetical protein
IFOHMJLD_00245	gene	1500	glcA			
IFOHMJLD_00245	CDS	1500	glcA		COG1620	Glycolate permease GlcA
IFOHMJLD_00246	gene	162				
IFOHMJLD_00246	CDS	162				hypothetical protein
IFOHMJLD_00247	gene	2325				
IFOHMJLD_00247	CDS	2325				hypothetical protein
IFOHMJLD_00248	gene	237				
IFOHMJLD_00248	CDS	237				hypothetical protein
IFOHMJLD_00249	gene	1449				
IFOHMJLD_00249	CDS	1449				hypothetical protein
IFOHMJLD_00250	gene	594				
IFOHMJLD_00250	CDS	594				hypothetical protein
IFOHMJLD_00251	gene	1545	pccB_1			
IFOHMJLD_00251	CDS	1545	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
IFOHMJLD_00252	gene	1512	cfiB_1			
