# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	17474	18427	+	IMCPIC_00017	419.0	4.0e-146	1.003	0.988	0.626	UniRef:UniRef50_I9VYU8
contig_1	cds	18455	19906	+	IMCPIC_00018	621.0	2.6e-220	0.959	0.897	0.618	UniRef:UniRef50_R9HA49
contig_1	cds	19925	23578	+	IMCPIC_00019	2323.0	0.0	1.001	1.0	0.943	UniRef:UniRef50_A0A174N8K5
contig_1	cds	23575	23727	+	IMCPIC_00020	-	-	-	-	-	-
contig_1	cds	23828	25078	-	IMCPIC_00021	432.0	1.3e-147	1.038	0.937	0.558	UniRef:UniRef50_A0A928BN21
contig_1	cds	25363	26238	+	IMCPIC_00022	291.0	2.3e-96	0.935	0.886	0.518	UniRef:UniRef50_I9S847
contig_1	cds	26250	27419	+	IMCPIC_00023	769.0	2.1e-282	1.0	1.0	1.0	UniRef:UniRef50_A0A2M9V632
contig_1	cds	27697	29658	+	IMCPIC_00024	806.0	5.9e-288	0.997	0.952	0.607	UniRef:UniRef50_E6MSG8
contig_1	cds	29988	31307	+	IMCPIC_00025	481.0	9.4e-167	1.0	0.993	0.551	UniRef:UniRef50_R7CVM7
contig_1	cds	31319	32353	+	IMCPIC_00026	375.0	6.7e-128	1.0	0.975	0.541	UniRef:UniRef50_R5CZM4
contig_1	cds	32357	33937	+	IMCPIC_00027	591.0	7.4e-207	0.994	0.924	0.564	UniRef:UniRef50_K9DVK3
contig_1	cds	34141	35229	-	IMCPIC_00028	411.0	2.7e-141	1.094	0.985	0.528	UniRef:UniRef50_Q64YD4
contig_1	tRNA	35535	35608	-	IMCPIC_00029	57.3	-	-	-	-	-
contig_1	cds	36054	37115	-	IMCPIC_00030	394.0	5.5e-135	0.986	0.899	0.552	UniRef:UniRef50_A0A1R3T4Z5
contig_1	cds	37252	37656	+	IMCPIC_00031	192.0	2.1e-62	1.0	0.865	0.709	UniRef:UniRef50_Q8A0P5
contig_1	cds	37750	40641	+	IMCPIC_00032	1170.0	0.0	1.003	0.982	0.630	UniRef:UniRef50_U2DY88
contig_1	cds	40798	42237	+	IMCPIC_00033	869.0	0.0	1.0	0.945	0.889	UniRef:UniRef50_A0A380ZBR8
contig_1	cds	42255	42746	-	IMCPIC_00034	250.0	6.0e-84	0.994	0.814	0.741	UniRef:UniRef50_A0A941F2P3
contig_1	cds	42779	43573	-	IMCPIC_00035	312.0	1.3e-105	0.970	0.928	0.563	UniRef:UniRef50_Q8A0P1
contig_1	cds	43581	44264	-	IMCPIC_00036	353.0	3.2e-123	1.004	1.0	0.776	UniRef:UniRef50_A0A0P0FU76
contig_1	cds	44361	45779	+	IMCPIC_00037	805.0	2.3e-293	1.030	0.998	0.823	UniRef:UniRef50_A0A9D8XQR0
contig_1	cds	45876	47609	-	IMCPIC_00038	757.0	6.7e-271	1.071	1.011	0.612	UniRef:UniRef50_A0A401LZZ7
contig_1	cds	47631	51047	-	IMCPIC_00039	1390.0	0.0	1.041	1.003	0.601	UniRef:UniRef50_A0A120A165
contig_1	cds	51377	53602	-	IMCPIC_00040	1003.0	0.0	0.988	1.004	0.648	UniRef:UniRef50_A0A162ND84
contig_1	cds	53984	56251	-	IMCPIC_00041	1024.0	0.0	1.009	0.986	0.644	UniRef:UniRef50_A0A9D2HQG8
contig_1	cds	56281	57279	-	IMCPIC_00042	623.0	3.1e-226	1.0	0.971	0.925	UniRef:UniRef50_I8XKX8
contig_1	cds	57332	57886	-	IMCPIC_00043	239.0	2.6e-79	1.0	0.968	0.630	UniRef:UniRef50_A0A3E4Z8M3
contig_1	cds	57902	60103	-	IMCPIC_00044	1152.0	0.0	0.988	0.860	0.744	UniRef:UniRef50_U6RBP1
contig_1	cds	60606	61799	-	IMCPIC_00045	416.0	3.5e-142	0.924	0.840	0.575	UniRef:UniRef50_R7JC21
contig_1	cds	61949	62803	+	IMCPIC_00046	408.0	6.9e-143	0.979	0.924	0.723	UniRef:UniRef50_I9VYS0
contig_1	cds	63051	65669	-	IMCPIC_00047	1243.0	0.0	1.003	0.850	0.696	UniRef:UniRef50_Q8A0M6
contig_1	cds	65773	66741	+	IMCPIC_00048	451.0	2.4e-158	1.0	0.915	0.643	UniRef:UniRef50_K9DW12
contig_1	cds	66756	67121	+	IMCPIC_00049	133.0	1.4e-39	0.876	0.922	0.585	UniRef:UniRef50_G5GB47
contig_1	cds	67165	69411	-	IMCPIC_00050	907.0	0.0	1.001	0.934	0.605	UniRef:UniRef50_A0AA43KLS8
contig_1	cds	69480	70778	-	IMCPIC_00051	741.0	2.1e-269	1.0	0.964	0.819	UniRef:UniRef50_A0A173TU23
contig_1	cds	70803	71672	-	IMCPIC_00052	362.0	9.3e-125	1.052	1.020	0.655	UniRef:UniRef50_A0A174NYY2
contig_1	cds	71673	72563	-	IMCPIC_00053	383.0	3.6e-132	0.976	0.843	0.668	UniRef:UniRef50_A0A180F0Z6
contig_1	cds	72572	73339	-	IMCPIC_00054	325.0	1.3e-110	0.996	0.858	0.661	UniRef:UniRef50_A0A2Z3L971
contig_1	cds	73844	74611	+	IMCPIC_00055	261.0	2.3e-85	0.984	0.866	0.502	UniRef:UniRef50_A0A1M4XQJ5
contig_1	cds	74608	75741	+	IMCPIC_00056	477.0	1.9e-166	0.997	0.879	0.652	UniRef:UniRef50_C9MMB0
contig_1	cds	75830	76570	+	IMCPIC_00057	283.0	4.5e-95	0.980	0.976	0.556	UniRef:UniRef50_A0A6I0GII4
contig_1	cds	76681	77520	-	IMCPIC_00058	295.0	3.8e-98	1.018	0.907	0.553	UniRef:UniRef50_D1QVY5
contig_1	cds	77536	79524	-	IMCPIC_00059	730.0	3.5e-256	0.977	0.829	0.604	UniRef:UniRef50_A0A935N0T6
contig_1	cds	79573	79932	-	IMCPIC_00060	144.0	8.1e-44	1.0	1.0	0.563	UniRef:UniRef50_F8WWS7
contig_1	tRNA	80235	80305	+	IMCPIC_00061	44.3	-	-	-	-	-
contig_1	cds	80449	82299	-	IMCPIC_00062	878.0	1.9e-317	1.028	0.998	0.757	UniRef:UniRef50_C9MMF2
contig_1	cds	82418	83758	-	IMCPIC_00063	388.0	4.7e-130	0.897	0.870	0.505	UniRef:UniRef50_A0A413IHS6
contig_1	cds	83820	84662	-	IMCPIC_00064	317.0	7.6e-107	0.918	0.865	0.619	UniRef:UniRef50_Q8A0H8
contig_1	cds	84712	85713	+	IMCPIC_00065	433.0	1.1e-150	0.952	0.848	0.694	UniRef:UniRef50_U6RPW4
contig_1	cds	85917	87374	+	IMCPIC_00066	595.0	2.4e-210	0.994	0.964	0.629	UniRef:UniRef50_F9D0S4
contig_1	cds	88004	89686	-	IMCPIC_00067	926.0	0.0	0.996	0.996	0.808	UniRef:UniRef50_A0A0I9SAT4
contig_1	cds	89709	90860	-	IMCPIC_00068	778.0	6.2e-286	1.003	1.0	0.990	UniRef:UniRef50_A0A0E2AV85
contig_1	cds	90865	93615	-	IMCPIC_00069	999.0	0.0	0.995	0.986	0.547	UniRef:UniRef50_I9KM86
contig_1	cds	93612	94352	-	IMCPIC_00070	388.0	5.0e-136	1.0	0.928	0.780	UniRef:UniRef50_I9BN96
contig_1	cds	94577	100357	+	IMCPIC_00071	2096.0	0.0	1.004	1.008	0.554	UniRef:UniRef50_UPI002FC87D9F
contig_1	cds	100628	101716	+	IMCPIC_00072	505.0	1.9e-178	0.978	0.896	0.720	UniRef:UniRef50_A0A1M4V1F3
contig_1	cds	101725	102816	+	IMCPIC_00073	513.0	4.3e-181	1.0	0.885	0.716	UniRef:UniRef50_A0A7D3XTL2
contig_1	cds	102926	103867	-	IMCPIC_00074	484.0	1.2e-171	0.962	0.865	0.821	UniRef:UniRef50_S3YRD9
contig_1	cds	103926	104753	+	IMCPIC_00075	281.0	3.4e-93	0.985	0.961	0.565	UniRef:UniRef50_F9D1X0
contig_1	cds	104775	105791	+	IMCPIC_00076	517.0	6.0e-184	0.962	0.876	0.766	UniRef:UniRef50_A0A1M4V1Q7
contig_1	cds	105763	107010	+	IMCPIC_00077	633.0	2.9e-227	0.993	0.924	0.777	UniRef:UniRef50_K5D8Z1
contig_1	cds	107052	107945	+	IMCPIC_00078	583.0	9.4e-212	1.0	0.974	1.0	UniRef:UniRef50_A0A4U9W1K6
contig_1	cds	108247	109119	-	IMCPIC_00079	448.0	2.6e-158	1.103	1.0	0.744	UniRef:UniRef50_Q64W50
contig_1	cds	109261	109608	-	IMCPIC_00080	197.0	5.0e-65	0.913	0.861	0.819	UniRef:UniRef50_Q64PB2
contig_1	cds	109707	110075	-	IMCPIC_00081	177.0	5.7e-57	1.0	1.0	0.869	UniRef:UniRef50_A0AAN4MUN4
contig_1	cds	110654	111190	+	IMCPIC_00082	297.0	5.8e-102	0.994	0.808	0.825	UniRef:UniRef50_K9DY96
contig_1	cds	111210	111698	+	IMCPIC_00083	266.0	2.3e-90	0.988	0.851	0.813	UniRef:UniRef50_E6SQ56
contig_1	cds	111856	112737	+	IMCPIC_00084	468.0	3.0e-165	0.997	0.809	0.777	UniRef:UniRef50_Q83AP7
contig_1	cds	112745	113158	+	IMCPIC_00085	204.0	1.2e-66	0.971	0.821	0.699	UniRef:UniRef50_A0A143B923
contig_1	cds	113155	113565	+	IMCPIC_00086	167.0	2.5e-52	0.993	0.877	0.533	UniRef:UniRef50_A0A2D0MZ01
contig_1	cds	113583	114683	+	IMCPIC_00087	396.0	2.2e-135	1.0	0.946	0.566	UniRef:UniRef50_Q9F837
contig_1	cds	114734	116245	+	IMCPIC_00088	497.0	3.4e-171	0.984	0.965	0.527	UniRef:UniRef50_A0A6L3GLX4
contig_1	cds	116377	117699	+	IMCPIC_00089	687.0	6.7e-248	0.991	0.946	0.784	UniRef:UniRef50_P96074
contig_1	cds	117696	118841	+	IMCPIC_00090	-	-	-	-	-	-
contig_1	cds	118828	119967	+	IMCPIC_00091	-	-	-	-	-	-
contig_1	cds	119982	120854	+	IMCPIC_00092	-	-	-	-	-	-
contig_1	cds	120895	121755	+	IMCPIC_00093	279.0	1.3e-91	0.913	0.821	0.525	UniRef:UniRef50_A0A174J9G3
contig_1	cds	121757	122818	+	IMCPIC_00094	366.0	3.3e-124	0.983	0.972	0.516	UniRef:UniRef50_A0A939YCE1
contig_1	cds	123043	123978	+	IMCPIC_00095	592.0	2.8e-214	1.0	0.864	1.0	UniRef:UniRef50_A0A174J966
contig_1	cds	123985	125184	+	IMCPIC_00096	608.0	2.7e-218	0.992	0.978	0.727	UniRef:UniRef50_R9HPE5
contig_1	cds	125181	126206	+	IMCPIC_00097	501.0	8.9e-178	0.988	0.980	0.730	UniRef:UniRef50_R9HX77
contig_1	cds	126213	127241	+	IMCPIC_00098	437.0	1.2e-151	1.006	0.856	0.631	UniRef:UniRef50_A0A1V4SKI8
contig_1	cds	127286	128437	+	IMCPIC_00099	488.0	4.6e-171	1.005	0.944	0.631	UniRef:UniRef50_A0A2A7BXZ5
contig_1	cds	128451	129590	+	IMCPIC_00100	631.0	3.9e-228	1.005	0.997	0.814	UniRef:UniRef50_A0A291DWA7
contig_1	cds	129632	130852	+	IMCPIC_00101	478.0	1.2e-166	0.973	0.954	0.610	UniRef:UniRef50_E6SSY5
contig_1	cds	130859	131755	+	IMCPIC_00102	452.0	7.9e-160	1.044	0.997	0.714	UniRef:UniRef50_A0A0P0G337
contig_1	cds	131858	132808	+	IMCPIC_00103	455.0	1.6e-159	1.206	0.997	0.635	UniRef:UniRef50_A0A174JAZ5
contig_1	cds	132811	133398	+	IMCPIC_00104	198.0	8.8e-63	0.974	0.918	0.521	UniRef:UniRef50_I9BKZ2
contig_1	cds	133862	134308	+	IMCPIC_00105	-	-	-	-	-	-
contig_1	cds	134570	136117	+	IMCPIC_00106	642.0	2.7e-229	0.829	0.966	0.731	UniRef:UniRef50_A0A6I0LGR1
contig_1	cds	136188	137222	-	IMCPIC_00107	387.0	1.7e-132	0.953	0.861	0.610	UniRef:UniRef50_A0A4Y6UQW3
contig_1	cds	137367	139535	+	IMCPIC_00108	1081.0	0.0	1.202	1.0	0.630	UniRef:UniRef50_A0A975KF20
contig_1	cds	139914	143051	+	IMCPIC_00109	1116.0	0.0	1.023	1.0	0.528	UniRef:UniRef50_A0A143XYC7
contig_1	cds	143077	144744	+	IMCPIC_00110	948.0	0.0	1.002	1.0	0.824	UniRef:UniRef50_I9VZ03
contig_1	cds	144744	145886	+	IMCPIC_00111	566.0	3.2e-202	1.003	0.995	0.709	UniRef:UniRef50_B3C6L7
contig_1	cds	146015	147796	+	IMCPIC_00112	998.0	0.0	1.0	0.995	0.781	UniRef:UniRef50_B3C6L6
contig_1	cds	147799	149172	+	IMCPIC_00113	-	-	-	-	-	-
contig_1	cds	149169	151016	+	IMCPIC_00114	-	-	-	-	-	-
contig_1	cds	151013	152128	+	IMCPIC_00115	639.0	1.8e-231	0.997	0.992	0.797	UniRef:UniRef50_E1WLN1
contig_1	cds	152250	153551	+	IMCPIC_00116	503.0	1.3e-175	0.958	0.914	0.552	UniRef:UniRef50_A0A133YT41
contig_1	cds	153554	155992	+	IMCPIC_00117	818.0	7.8e-288	0.945	0.921	0.541	UniRef:UniRef50_A0A3B8RAY9
contig_1	cds	155998	157251	+	IMCPIC_00118	473.0	3.1e-164	0.993	0.961	0.534	UniRef:UniRef50_A0A6L9KEK3
contig_1	cds	157405	158043	+	IMCPIC_00119	261.0	2.6e-87	0.958	0.906	0.621	UniRef:UniRef50_G5HAZ3
contig_1	cds	158046	158738	+	IMCPIC_00120	474.0	1.1e-170	0.996	0.958	1.0	UniRef:UniRef50_E1WLN6
contig_1	cds	158745	159749	+	IMCPIC_00121	398.0	2.7e-137	1.003	0.946	0.576	UniRef:UniRef50_A0A3E5GFR6
contig_1	cds	159841	160965	+	IMCPIC_00122	517.0	6.9e-183	0.955	0.892	0.655	UniRef:UniRef50_E1WLN8
contig_1	cds	161002	162174	+	IMCPIC_00123	498.0	3.5e-174	0.997	0.874	0.614	UniRef:UniRef50_A0A2T6DUV9
contig_1	cds	162191	163579	+	IMCPIC_00124	609.0	4.0e-216	0.996	0.929	0.657	UniRef:UniRef50_A0A9D1WCH5
contig_1	cds	163576	164769	+	IMCPIC_00125	469.0	4.3e-163	0.967	0.919	0.576	UniRef:UniRef50_A0A379ECV1
contig_1	cds	164839	166602	+	IMCPIC_00126	585.0	5.1e-203	1.0	0.985	0.514	UniRef:UniRef50_Q64Y25
contig_1	cds	166609	168069	+	IMCPIC_00127	546.0	1.7e-190	0.996	0.917	0.568	UniRef:UniRef50_A0A6I2MYG2
contig_1	cds	168073	169203	+	IMCPIC_00128	426.0	4.5e-147	1.011	0.960	0.574	UniRef:UniRef50_A0A2M9VAJ0
contig_1	cds	169236	169370	+	IMCPIC_00129	-	-	-	-	-	-
contig_1	cds	169853	171001	-	IMCPIC_00130	802.0	1.4e-295	1.0	1.0	1.0	UniRef:UniRef50_A0A412YRD1
contig_1	cds	171171	172445	-	IMCPIC_00131	400.0	5.2e-135	0.877	0.819	0.565	UniRef:UniRef50_R5W2U6
contig_1	cds	172524	175223	-	IMCPIC_00132	1069.0	0.0	0.979	0.966	0.609	UniRef:UniRef50_H1DI69
contig_1	cds	175461	178220	+	IMCPIC_00133	1257.0	0.0	1.005	0.966	0.677	UniRef:UniRef50_A0A174GEG6
contig_1	cds	178350	179786	-	IMCPIC_00134	543.0	1.3e-189	1.056	0.982	0.578	UniRef:UniRef50_F8N782
contig_1	cds	179794	181278	-	IMCPIC_00135	611.0	5.6e-216	1.051	1.0	0.642	UniRef:UniRef50_A0A380ZA28
contig_1	cds	181291	183201	-	IMCPIC_00136	986.0	0.0	1.053	0.997	0.772	UniRef:UniRef50_A0A952T4Z1
contig_1	cds	183258	183569	-	IMCPIC_00137	184.0	3.0e-60	0.990	0.857	0.951	UniRef:UniRef50_H1HQM4
contig_1	cds	183576	184088	-	IMCPIC_00138	241.0	2.1e-80	0.971	0.902	0.806	UniRef:UniRef50_Q8A0F9
contig_1	cds	184095	184574	-	IMCPIC_00139	246.0	1.0e-82	0.994	0.913	0.861	UniRef:UniRef50_U6RAJ2
contig_1	cds	184591	185667	-	IMCPIC_00140	456.0	7.2e-159	1.006	0.882	0.628	UniRef:UniRef50_A6L168
contig_1	cds	185703	187295	-	IMCPIC_00141	650.0	8.7e-230	0.991	0.875	0.617	UniRef:UniRef50_Q5LH50
contig_1	cds	187334	187915	-	IMCPIC_00142	196.0	5.1e-62	0.855	0.829	0.552	UniRef:UniRef50_A0A3C1EPC1
contig_1	cds	187915	188265	-	IMCPIC_00143	129.0	6.2e-38	1.0	0.885	0.526	UniRef:UniRef50_A0A7K3XKM5
contig_1	cds	188416	188793	-	IMCPIC_00144	238.0	5.7e-81	1.0	1.0	0.904	UniRef:UniRef50_I9VZ95
contig_1	cds	188927	190363	-	IMCPIC_00145	513.0	1.1e-177	1.0	0.900	0.525	UniRef:UniRef50_R6ZRW5
contig_1	cds	190383	191723	-	IMCPIC_00146	526.0	2.3e-184	1.0	0.961	0.583	UniRef:UniRef50_F0F4V8
contig_1	cds	191764	193710	-	IMCPIC_00147	770.0	1.1e-272	0.965	0.840	0.598	UniRef:UniRef50_Q8A0C2
contig_1	cds	194361	195701	-	IMCPIC_00148	459.0	5.5e-158	0.944	0.929	0.553	UniRef:UniRef50_A0A5J4RR17
contig_1	cds	195698	196000	-	IMCPIC_00149	186.0	6.5e-61	0.980	0.907	0.949	UniRef:UniRef50_I9VZ99
contig_1	cds	196165	197298	-	IMCPIC_00150	420.0	2.4e-144	1.101	1.0	0.511	UniRef:UniRef50_A0A1R3T134
contig_1	cds	197501	198148	+	IMCPIC_00151	206.0	3.0e-65	0.944	0.902	0.512	UniRef:UniRef50_A0A088F110
contig_1	cds	198224	199780	-	IMCPIC_00152	744.0	8.2e-268	1.002	0.942	0.674	UniRef:UniRef50_A0A1C5Q145
contig_1	cds	199801	201879	-	IMCPIC_00153	909.0	0.0	0.951	0.929	0.643	UniRef:UniRef50_Q64XZ6
contig_1	cds	201888	203270	-	IMCPIC_00154	554.0	8.3e-194	0.948	0.812	0.594	UniRef:UniRef50_S0FD58
contig_1	cds	203276	204721	-	IMCPIC_00155	652.0	2.3e-232	0.963	0.899	0.652	UniRef:UniRef50_B5CWJ7
contig_1	cds	204839	206821	-	IMCPIC_00156	710.0	6.2e-250	1.038	1.003	0.549	UniRef:UniRef50_B6VWN9
contig_1	cds	206834	210019	-	IMCPIC_00157	1269.0	0.0	0.988	0.900	0.597	UniRef:UniRef50_A0A662ZUB7
contig_1	cds	210204	214289	+	IMCPIC_00158	1431.0	0.0	1.001	0.992	0.541	UniRef:UniRef50_A0AA41D9W1
contig_1	cds	214361	215857	-	IMCPIC_00159	795.0	1.5e-287	1.173	1.0	0.699	UniRef:UniRef50_R7CWD8
contig_1	cds	216263	217612	+	IMCPIC_00160	620.0	2.1e-221	0.993	0.963	0.659	UniRef:UniRef50_U6RMA2
contig_1	cds	217626	218873	+	IMCPIC_00161	609.0	6.6e-218	1.002	0.965	0.695	UniRef:UniRef50_A6L7Y8
contig_1	ncRNA	219050	219203	-	IMCPIC_00162	177.0	5.9e-30	-	-	-	RFAM:RF04180
contig_1	cds	219284	222712	-	IMCPIC_00163	1303.0	0.0	1.039	0.887	0.587	UniRef:UniRef50_A0A5P3AYL8
contig_1	cds	222809	223609	-	IMCPIC_00164	445.0	6.9e-158	0.970	0.872	0.845	UniRef:UniRef50_A0A1M4V6Y7
contig_1	cds	223643	223870	-	IMCPIC_00165	-	-	-	-	-	-
contig_1	cds	224170	226665	-	IMCPIC_00166	1027.0	0.0	1.002	0.930	0.628	UniRef:UniRef50_B3JGP5
contig_1	cds	226695	227681	-	IMCPIC_00167	407.0	1.3e-140	1.0	0.879	0.582	UniRef:UniRef50_I9BNM4
contig_1	cds	228109	228474	+	IMCPIC_00168	153.0	3.1e-47	0.983	0.888	0.563	UniRef:UniRef50_A0A7J0APL3
contig_1	cds	228512	229852	+	IMCPIC_00169	400.0	5.1e-133	1.078	0.821	0.511	UniRef:UniRef50_A0A6A2RUS6
contig_1	cds	229888	230001	+	IMCPIC_00170	-	-	-	-	-	-
contig_1	cds	230077	232119	+	IMCPIC_00171	1160.0	0.0	1.0	1.0	0.884	UniRef:UniRef50_A0A3E5I251
contig_1	cds	232210	233385	-	IMCPIC_00172	769.0	3.6e-282	1.0	1.0	0.972	UniRef:UniRef50_Q64XX4
contig_1	cds	233348	233659	-	IMCPIC_00173	170.0	1.3e-54	1.049	1.0	0.806	UniRef:UniRef50_I9BNM9
contig_1	cds	233785	234786	-	IMCPIC_00174	479.0	1.2e-169	0.901	0.888	0.800	UniRef:UniRef50_Q8A018
contig_1	cds	234800	235468	-	IMCPIC_00175	416.0	3.1e-148	0.991	0.991	0.973	UniRef:UniRef50_A6LDS7
contig_1	cds	235498	236265	-	IMCPIC_00176	155.0	1.3e-44	0.992	0.969	0.542	UniRef:UniRef50_A0A6I7LY24
contig_1	cds	236275	237660	-	IMCPIC_00177	578.0	2.8e-204	0.993	0.962	0.609	UniRef:UniRef50_Q8A015
contig_1	cds	237664	238704	-	IMCPIC_00178	360.0	8.9e-122	1.0	0.896	0.835	UniRef:UniRef50_Q8A014
contig_1	cds	238787	240016	-	IMCPIC_00179	557.0	2.2e-197	1.0	0.936	0.663	UniRef:UniRef50_B6YRE0
contig_1	cds	240016	240840	-	IMCPIC_00180	389.0	1.4e-135	1.073	0.970	0.684	UniRef:UniRef50_B2RME4
contig_1	cds	240889	242001	-	IMCPIC_00181	615.0	1.2e-221	1.0	0.954	0.832	UniRef:UniRef50_Q8A011
contig_1	cds	242121	243287	-	IMCPIC_00182	532.0	1.5e-187	1.003	0.851	0.671	UniRef:UniRef50_A0A2E4BB12
contig_1	cds	243415	243600	+	IMCPIC_00183	-	-	-	-	-	-
contig_1	cds	243575	243703	+	IMCPIC_00184	-	-	-	-	-	-
contig_1	cds	243935	244516	-	IMCPIC_00185	236.0	8.1e-78	0.912	0.842	0.636	UniRef:UniRef50_A0A3N2NER9
contig_1	cds	244567	245490	-	IMCPIC_00186	-	-	-	-	-	-
contig_1	cds	245492	246442	-	IMCPIC_00187	397.0	6.2e-137	0.962	0.849	0.609	UniRef:UniRef50_G5ST29
contig_1	cds	246442	247185	-	IMCPIC_00188	298.0	1.5e-100	1.049	0.970	0.548	UniRef:UniRef50_W0EWB9
contig_1	cds	247212	247949	-	IMCPIC_00189	426.0	5.1e-151	0.984	0.858	0.867	UniRef:UniRef50_Q8A005
contig_1	cds	248072	249013	-	IMCPIC_00190	524.0	3.2e-187	1.003	0.885	0.828	UniRef:UniRef50_A6GYJ4
contig_1	cds	249033	250046	-	IMCPIC_00191	434.0	6.1e-151	0.938	0.804	0.706	UniRef:UniRef50_A0A0S2HX16
contig_1	cds	250210	250890	+	IMCPIC_00192	-	-	-	-	-	-
contig_1	cds	250966	252603	-	IMCPIC_00193	600.0	5.0e-210	0.991	0.952	0.998	UniRef:UniRef50_K9EGT5
contig_1	cds	252627	253124	-	IMCPIC_00194	238.0	1.6e-79	1.006	1.0	0.747	UniRef:UniRef50_Q8A000
contig_1	cds	253278	255065	+	IMCPIC_00195	805.0	2.3e-289	0.966	0.919	0.663	UniRef:UniRef50_Q5LGZ8
contig_1	cds	255097	256251	+	IMCPIC_00196	-	-	-	-	-	-
contig_1	cds	256332	257090	+	IMCPIC_00197	399.0	3.9e-140	0.992	0.868	0.776	UniRef:UniRef50_A0A7L4ZHT5
contig_1	cds	257114	258013	+	IMCPIC_00198	465.0	2.7e-164	1.023	0.882	0.768	UniRef:UniRef50_F9Z4Y3
contig_1	cds	258041	258694	+	IMCPIC_00199	-	-	-	-	-	-
contig_1	cds	258675	259760	-	IMCPIC_00200	457.0	1.9e-159	0.989	0.877	0.641	UniRef:UniRef50_F9D534
contig_1	cds	259782	263117	-	IMCPIC_00201	1736.0	0.0	0.970	0.981	0.736	UniRef:UniRef50_S8GY33
contig_1	cds	263143	263955	-	IMCPIC_00202	291.0	5.1e-96	1.070	0.812	0.516	UniRef:UniRef50_I8XUE5
contig_1	cds	264145	265539	-	IMCPIC_00203	585.0	4.0e-205	1.039	0.821	0.589	UniRef:UniRef50_A6KWM1
contig_1	cds	266642	268909	-	IMCPIC_00204	1057.0	0.0	0.972	0.937	0.677	UniRef:UniRef50_U6RHU4
contig_1	cds	268924	269220	+	IMCPIC_00205	-	-	-	-	-	-
contig_1	cds	269092	271863	-	IMCPIC_00206	1194.0	0.0	0.967	0.965	0.624	UniRef:UniRef50_A0A3B8R652
contig_1	cds	271990	275283	-	IMCPIC_00207	1258.0	0.0	1.057	1.014	0.550	UniRef:UniRef50_K5CA37
contig_1	cds	275297	276676	-	IMCPIC_00208	541.0	5.0e-189	1.007	0.883	0.565	UniRef:UniRef50_U6RR27
contig_1	cds	276814	277710	+	IMCPIC_00209	386.0	1.6e-133	1.0	0.928	0.614	UniRef:UniRef50_K9E9H2
contig_1	cds	277769	280420	-	IMCPIC_00210	1225.0	0.0	0.976	0.974	0.696	UniRef:UniRef50_A0A0I9SBJ9
contig_1	cds	280527	281963	-	IMCPIC_00211	664.0	1.0e-237	0.987	0.950	0.657	UniRef:UniRef50_Q64XT5
