1_1637 # 1930596 # 1931825 # 1 # ID=1_1637;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=8bp;genetic_code=11;gc_cont=0.531	TIGR02224	4.176E-23	93
1_1454 # 1738098 # 1739573 # 1 # ID=1_1454;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=14bp;genetic_code=11;gc_cont=0.474	PF00589.RP35	2.206E-24	98
1_11 # 6195 # 7508 # -1 # ID=1_11;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.397	PF00589.RP35	2.049E-21	88
1_1661 # 1956881 # 1957174 # -1 # ID=1_1661;partial=00;start_type=TTG;rbs_motif=AAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.452	PF00589.seed	1.331E-11	50
1_2674 # 3147980 # 3149095 # 1 # ID=1_2674;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.442	PF00589.RP35	1.092E-21	88
1_1194 # 1442328 # 1443548 # -1 # ID=1_1194;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=10bp;genetic_code=11;gc_cont=0.394	PF00589.RP35	2.909E-20	84
2_55 # 49681 # 50709 # -1 # ID=2_55;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=4bp;genetic_code=11;gc_cont=0.354	PF00589.RP35	8.838E-25	97
1_1298 # 1573076 # 1574215 # 1 # ID=1_1298;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=10bp;genetic_code=11;gc_cont=0.409	TIGR02249	8.764E-50	173
1_732 # 905407 # 906213 # 1 # ID=1_732;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;genetic_code=11;gc_cont=0.387	COG4974	3.829E-30	111
1_692 # 854742 # 855656 # -1 # ID=1_692;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=15bp;genetic_code=11;gc_cont=0.433	PF00589.RP35	6.736E-17	72
1_1802 # 2122375 # 2123313 # -1 # ID=1_1802;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.537	PF00589.RP35	1.038E-12	59
1_3632 # 4307942 # 4309177 # 1 # ID=1_3632;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=10bp;genetic_code=11;gc_cont=0.549	PF00589.RP35	7.952E-22	89
1_1447 # 1728623 # 1729681 # -1 # ID=1_1447;partial=00;start_type=TTG;rbs_motif=TAAAAA;rbs_spacer=8bp;genetic_code=11;gc_cont=0.414	PF00589.RP35	9.241E-23	91
1_951 # 1185316 # 1186536 # -1 # ID=1_951;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=6bp;genetic_code=11;gc_cont=0.488	PF00589.RP35	1.942E-23	94
1_441 # 573101 # 574363 # 1 # ID=1_441;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=14bp;genetic_code=11;gc_cont=0.416	PF00589.RP35	1.077E-23	95
1_3389 # 4017187 # 4018398 # -1 # ID=1_3389;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.578	PF00589.RP35	1.071E-18	79
1_873 # 1069900 # 1071042 # 1 # ID=1_873;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=5bp;genetic_code=11;gc_cont=0.342	TIGR02225	7.374E-25	98
1_3180 # 3764639 # 3765853 # 1 # ID=1_3180;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=4bp;genetic_code=11;gc_cont=0.471	PF00589.RP35	1.690E-16	72
1_1455 # 1739582 # 1740934 # 1 # ID=1_1455;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.486	PF00589.RP35	3.490E-19	81
1_1595 # 1896851 # 1897846 # 1 # ID=1_1595;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;genetic_code=11;gc_cont=0.446	PF00589.RP35	1.057E-11	56
1_2605 # 3085158 # 3086393 # 1 # ID=1_2605;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;genetic_code=11;gc_cont=0.444	PF00589.RP35	6.270E-20	83
1_4269 # 5084527 # 5085762 # -1 # ID=1_4269;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=9bp;genetic_code=11;gc_cont=0.542	PF00589.RP35	7.952E-22	89
1_2065 # 2422951 # 2423871 # 1 # ID=1_2065;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=10bp;genetic_code=11;gc_cont=0.467	PF00589.RP35	2.537E-14	64
1_12 # 7535 # 8767 # -1 # ID=1_12;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=10bp;genetic_code=11;gc_cont=0.419	PF00589.RP35	1.826E-22	91
1_2725 # 3218523 # 3219635 # -1 # ID=1_2725;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;genetic_code=11;gc_cont=0.597	PF00589.RP35	6.398E-17	73
1_1446 # 1727293 # 1728609 # -1 # ID=1_1446;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;genetic_code=11;gc_cont=0.388	PF00589.RP35	4.260E-21	87
1_1638 # 1931845 # 1933056 # 1 # ID=1_1638;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=10bp;genetic_code=11;gc_cont=0.507	PF00589.RP35	1.071E-18	79
1_3241 # 3829214 # 3830509 # -1 # ID=1_3241;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.515	PF00589.RP35	1.198E-23	95
1_500 # 641392 # 642684 # -1 # ID=1_500;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.462	PF00589.RP35	9.653E-17	73
